SITE NAME,GLOBAL ID,SITE_TYPE,STATUS,ADDRESS,CITY,LATITUDE,LONGITUDE
ALPHA INVESTMENT ASSOCIATES,T10000009330,LAND DISPOSAL SITE,COMPLETED - CASE CLOSED,2501 BATEMAN STREET,IRWINDALE,34.11908,-117.98853
ALPINE I BURN SITE,L10008255100,LAND DISPOSAL SITE,OPEN - VERIFICATION MONITORING,9715 CHOCOLATE SUMMIT,ALPINE,32.85585,-116.809206
ALPINE II BURN SITE,L10001529487,LAND DISPOSAL SITE,OPEN - CLOSED/WITH MONITORING,9725 CHOCOLATE SUMMIT DRIVE,ALPINE,32.85587812,-116.8099988
ALPINE III - CHOCOLATE BAR LF1,L10004264469,LAND DISPOSAL SITE,OPEN - CLOSING/WITH MONITORING,9653 DUNBAR,ALPINE,32.858632,-116.818395
ALPINE III - CHOCOLATE BAR LF2,L10006104476,LAND DISPOSAL SITE,OPEN - CLOSING/WITH MONITORING,9590 CHOCOLATE SUMMIT,ALPINE,32.858356,-116.816331
ALPINE MINE,T10000013886,LAND DISPOSAL SITE,UNKNOWN,OFF OF DERRICK AVE (EXACT LOCATION UNKNOWN),NEAR COALINGA,36.13967,-120.36014
ALTAMONT LF/RESOURCE RECOVERY,L10005834311,LAND DISPOSAL SITE,OPEN - OPERATING,10840 ALTAMONT PASS,LIVERMORE,37.74929356,-121.6498902
ALTO GOLD MINE,L10004914540,LAND DISPOSAL SITE,OPEN,,COPPEROPOLIS,37.9810358,-120.6418716
ALTURAS CLASS III LANDFILL,L10007590008,LAND DISPOSAL SITE,OPEN - OPERATING,ALTURAS DUMP RD,ALTURAS,41.45885768,-120.5687284
"ALUMAX FONTANA, WASTE PILE (CLOSED)",L10007609502,LAND DISPOSAL SITE,OPEN - CLOSED/WITH MONITORING - LAND USE RESTRICTIONS,10825 BEECH AVENUE,FONTANA,34.05640666,-117.468998
ALVARADO FILTRATION PLANT,L10002065679,LAND DISPOSAL SITE,OPEN - CLOSING/WITH MONITORING,5530 KIOWA DRIVE,LA MESA,32.78299992,-117.0422439
AMARAL & SONS INC.,L10006644868,LAND DISPOSAL SITE,OPEN,"21147 ARMSTRONG, CROWS LANDING",STANISLAUS COUNTY,37.416222,-121.079429
AMERICAN AVENUE MUNICIPAL SOLID WASTE LANDFILL,L10006109169,LAND DISPOSAL SITE,OPEN - OPERATING,18950 WEST AMERICAN AVENUE,KERMAN,36.66609563,-120.1306339
AMERICAN DISPOSAL NO. 1,T10000006219,LAND DISPOSAL SITE,COMPLETED - CASE CLOSED,731 W. 182ND STREET,GARDENA,33.86508236,-118.2868045
AMERICAN GIRL MINE  98-095,L10006495032,LAND DISPOSAL SITE,COMPLETED - CASE CLOSED,AMERICAN GIRL MINE RD,OGILBY,32.85885181,-114.790363
AMERICAN ORGANICS VICTOR VALLEY REGIONAL COMPOSTING FACILITY,T10000009134,LAND DISPOSAL SITE,OPEN - OPERATING,20055 SHAY,VICTORVILLE,34.61169,-117.35507
AMERICAN REMEDIAL TECHNOLOGIES,L10006413327,LAND DISPOSAL SITE,COMPLETED - CASE CLOSED,2680 E. IMPERIAL HIGHWAY,LYNWOOD,33.9276989,-118.2238749
AMERICAN TIRE TECH,L10001989902,LAND DISPOSAL SITE,OPEN,SW COR OF NILL AVE/HWY 99,MCFARLAND,35.651874,-119.22241
"AMERON INTERNATIONAL CORP., BRINE FACILITY (CLOSED)",T10000003511,LAND DISPOSAL SITE,COMPLETED - CASE CLOSED - LAND USE RESTRICTIONS,12455 ARROW ROUTE,ETIWANDA,34.094524,-117.532444
AMERON LANDFILL,T10000004410,LAND DISPOSAL SITE,COMPLETED - CASE CLOSED,SOUTHERN AVENUE - RIO HONDO CHANNEL - KARMONT,SOUTH GATE,33.94184216,-118.1655373
ANCHO ERIE MINE,T10000016069,LAND DISPOSAL SITE,PRE-TITLE 27 CAI - CLOSED/NO MONITORING,ANCHO ERIE MINE ROAD,NEVADA CITY,39.35908,-120.79993
ANCHOR GLASS,SLT5SOO33597,LAND DISPOSAL SITE,OPEN,1400 WEST 4TH STREET,ANTIOCH,38.015531,-121.811412
ANCHOR GLASS LANDFILL,L10001309503,LAND DISPOSAL SITE,OPEN,1400 4TH,ANTIOCH,38.017154,-121.825447
ANDERSON CLIII LANDFL/CLII SURFACE IMP,L10001489269,LAND DISPOSAL SITE,OPEN - OPERATING,18703 CAMBRIDGE RD,ANDERSON,40.41499909,-122.3575258
ANGELO GIUSTI CLASS III DISPOSAL SITE,T0609791297,LAND DISPOSAL SITE,OPEN - SITE ASSESSMENT,7750 GUISTI ROAD,FORESTVILLEE,38.486508,-122.903614
ANTELOPE VALLEY PUBLIC LANDFILL,T10000007159,LAND DISPOSAL SITE,OPEN - OPERATING,1200 WEST CITY RANCH ROAD,PALMDALE,34.56731,-118.14984
ANTELOPE VALLEY RECYCLING # 1,L10009605384,LAND DISPOSAL SITE,OPEN,1200 W CITY RANCH RD,PALMDALE,34.56972969,-118.1496763
ANTELOPE VALLEY RECYCLING #2,L10004594296,LAND DISPOSAL SITE,OPEN,1200 CITY RANCH,PALMDALE,34.569855,-118.149837
ANTIOCH LANDFILL,L10003214546,LAND DISPOSAL SITE,OPEN,SOMERSVILLE RD,ANTIOCH,37.98774,-121.852702
ANZA SANITARY LANDFILL,L10005246107,LAND DISPOSAL SITE,OPEN - CLOSED/WITH MONITORING,40329 TERWILLIGER ROAD,ANZA,33.536496,-116.626261
APONI DAWN MINE,T10000016213,LAND DISPOSAL SITE,OPEN - INACTIVE,"FOREST HILL DIVIDE RD. TO F.S.-13 NEAR CARMACK MINE, TAKE RIGHT FOR 1 MILE",WESTVILLE,39.1847032,-120.5486755
APPLE VALLEY MUNICIPAL LF,L10009617682,LAND DISPOSAL SITE,OPEN - CLOSED/WITH MONITORING,E OF APPLE VALLEY,APPLE VALLEY,34.4970783,-117.1087646
AQUA CLEAR FARMS FACILITY,L10001773161,LAND DISPOSAL SITE,OPEN - REMEDIATION,ST HWY 113 AND FLANNERY RD,RIO VISTA,38.21039791,-121.8092538
AQUATERRA (AKA WOODS INDUSTRIES),T10000005462,LAND DISPOSAL SITE,COMPLETED - CASE CLOSED,10120 WEST FRONTAGE ROAD,SOUTH GATE,33.939136,-118.172875
ARCADIA RECLAMATION INC.,L10001817644,LAND DISPOSAL SITE,COMPLETED - CASE CLOSED,12321 LOWER AZUSA,ARCADIA,34.09320175,-117.9969621
ARCADY OIL DRILLING MUD DISPOSAL SITE,SLT5SM023585,LAND DISPOSAL SITE,OPEN,WHISKEY SLOUGH ROAD,HOLT,37.929888,-121.436118
ARCATA REDWOOD CO-WWDS #3,L10001199258,LAND DISPOSAL SITE,OPEN,HIGHWAY 101,SMITH RIVER,41.92975488,-124.1453422
ARGONAUT MILL TAILINGS,T10000013792,LAND DISPOSAL SITE,PRE-TITLE 27 CAI - CLOSED/WITH MONITORING,ARGONAUT LANE,JACKSON,38.357457,-120.789277
ARGUS BOILER ASH LANDFILL,L10002344208,LAND DISPOSAL SITE,COMPLETED - CASE CLOSED,13200 MAIN ST,TRONA,35.759963,-117.376691
ARIZONA ST/BALBOA PARK LANDFILL,L10006165556,LAND DISPOSAL SITE,OPEN - CLOSED/WITH MONITORING,2781 PERSHING DRIVE,SAN DIEGO,32.735342,-117.138175
ARMSTRONG OLIVE COMPANY,L10008959443,LAND DISPOSAL SITE,OPEN,18589 ROAD 232,PORTERVILLE,36.1260119,-119.0539248
ARMTEC DEFENSE PRODUCTS,L10007426352,LAND DISPOSAL SITE,OPEN - OPERATING,85901 AVE 53,COACHELLA,33.660621,-116.166513
ARNOLD ROAD DUMP,T10000009072,LAND DISPOSAL SITE,COMPLETED - CASE CLOSED,END OF ARNOLD ROAD AND PACIFIC OCEAN,OXNARD,34.12225,-119.15958
ARROW NU-WAY RECLAMATION,L10002905176,LAND DISPOSAL SITE,OPEN - OPERATING,1270 EAST ARROW HIGHWAY,IRWINDALE,34.11274614,-117.9829502
ARVIN SANITARY LANDFILL,L10002454014,LAND DISPOSAL SITE,OPEN - CLOSED/WITH MONITORING,5500 WHEELER RIDGE ROAD,ARVIN,35.19052191,-118.9092779
ASCON LANDFILL,L10002024249,LAND DISPOSAL SITE,OPEN - REFERRED,SW CORNER OF MAGNOLIA ST AND HAMILTON AV,HUNTINGTON BEACH,33.64858256,-117.9731011
ASCON LANDFILL (WATSON ENERGY SYSTEMS),L10003820043,LAND DISPOSAL SITE,OPEN - INACTIVE,1711 N. ALAMEDA ST.,WILMINGTON,33.79852739,-118.2436664
ASCOT PARK RACEWAY LANDFILL,T10000004245,LAND DISPOSAL SITE,COMPLETED - CASE CLOSED,18240 S. VERMONT AVENUE,LOS ANGELES,33.86462576,-118.2891408
ATKINSON BRICK COMPANY,T10000005515,LAND DISPOSAL SITE,COMPLETED - CASE CLOSED,13633 S. CENTRAL AVENUE,COMPTON,33.908375,-118.256614
ATTWOOD AND PURSELL,T10000009335,LAND DISPOSAL SITE,COMPLETED - CASE CLOSED,2700 NEW YORK DRIVE,ALTADENA,34.17375,-118.09636
"ATWOOD FLYING SERVICE, INC.",L10004441234,LAND DISPOSAL SITE,OPEN,207 VILLA MANUCHA,STANISLAUS COUNTY,37.335587,-121.026463
AUBURN LANDFILL,L10003801379,LAND DISPOSAL SITE,OPEN,12305 SHALE RIDGE,AUBURN,38.95450233,-121.0911277
AVENAL SWDS,L10002220845,LAND DISPOSAL SITE,OPEN,HYDRIL RD & SYLINE BLVD,AVENAL,36.00819865,-120.1165017
AVENAL SWDS,L10008359729,LAND DISPOSAL SITE,OPEN - OPERATING,HYDRIL RD & SKYLINE BLVD,AVENAL,36.00885825,-120.1164802
AZUSA LAND RECLAMATION LANDFILL,L10005042654,LAND DISPOSAL SITE,OPEN - OPERATING,1201 GLADSTONE,AZUSA,34.11962809,-117.9268767
AZUSA SOIL RECYCLING FACILITY,L10002241316,LAND DISPOSAL SITE,COMPLETED - CASE CLOSED,1211 GLADSTONE,AZUSA,34.11897272,-117.9272862
BADLANDS LANDFILL,L10003146754,LAND DISPOSAL SITE,OPEN - OPERATING,31125 IRONWOOD,MORENO VALLEY,33.95349,-117.11758
BAILARD LANDFILL,L10001266944,LAND DISPOSAL SITE,OPEN - CLOSED/WITH MONITORING,4105 GONZALES,OXNARD,34.2294031,-119.2253494
BAKER CLASS III LANDFILL,L10008518142,LAND DISPOSAL SITE,OPEN - CLOSED/WITH MONITORING,2 MI SE OF BAKER,BAKER,35.23366673,-116.0592699
BAKERSFIELD METROPOLITAN (BENA) SANITARY LANDFILL,L10007929434,LAND DISPOSAL SITE,OPEN - OPERATING,2951 NEUMARKEL ROAD,EDISON,35.34874334,-118.7629225
BAKERSFIELD SANITARY LANDFILL,L10001362738,LAND DISPOSAL SITE,OPEN - CLOSING/WITH MONITORING,4200 PANORAMA,BAKERSFIELD,35.41413761,-118.9488398
BALANCE ROCK SWDS,L10007860247,LAND DISPOSAL SITE,OPEN - CLOSED/WITH MONITORING,SUGARLOAF,BALANCE ROCK,35.81124486,-118.655689
BALCOM CANYON II,T10000005536,LAND DISPOSAL SITE,COMPLETED - CASE CLOSED,"7980 BALCOM CYN RD, EAST SIDE OF BALCOM CYN",SOMIS,34.3160602,-118.9577108
BALCOM CANYON MOORPARK,T10000005298,LAND DISPOSAL SITE,COMPLETED - CASE CLOSED,5367 BALCOM CANYON ROAD,MOORPARK,34.278337,-118.9630811
BALLARD CANYON CLOSED LANDFILL,L10004435913,LAND DISPOSAL SITE,OPEN - CLOSED/WITH MONITORING,BALLARD CANYON ROAD,SOLVANG,34.63493,-120.14135
BALTIC MINE,L10002139959,LAND DISPOSAL SITE,COMPLETED - CASE CLOSED,27850 E BUTTE AVE,RANDSBURG,35.35482617,-117.6377392
BARNHART AND DANTZLER PROPERTY,L10007631848,LAND DISPOSAL SITE,COMPLETED - CASE CLOSED,900 CACTUS ROAD,SAN DIEGO,32.56431478,-116.9893873
BARSTOW CLASS III LF/SLUDGEFRM,L10001007805,LAND DISPOSAL SITE,OPEN - OPERATING,32553 BARSTOW RD,BARSTOW,34.8352228,-117.0177412
BASS HILL SANITARY LANDFILL (LASSEN COUNTY CLASS III LANDFILL),L10006068344,LAND DISPOSAL SITE,OPEN - OPERATING,JOHNSTONVILLE DUMP RD,SUSANVILLE,40.35147253,-120.5550178
BASS LAKE LANDFILL,L10002531110,LAND DISPOSAL SITE,OPEN,RD 222,BASS LAKE,37.347848,-119.591331
BAY AREA SOIL-THRML TRTMNT- (ALSO CALLED REMCO),L10002916548,LAND DISPOSAL SITE,COMPLETED - CASE CLOSED,2717 GOODRICK,RICHMOND,37.972283,-122.365223
BAY SULFUR,L10005663437,LAND DISPOSAL SITE,OPEN,2717 W. WASHINGTON,STOCKTON,37.944296,-121.334115
BAYSCENE MOBILE HOME PARK,L10004678722,LAND DISPOSAL SITE,OPEN - CLOSING/WITH MONITORING,100 WOODLAWN,CHULA VISTA,32.642494,-117.099294
BAYVIEW BUSINESS PARK- HORST HANF LANDFILL,L10005066569,LAND DISPOSAL SITE,OPEN - CLOSED/WITH MONITORING,22 PELICAN WAY,SAN RAFAEL,37.9486903,-122.4924775
BEAUMONT LANDFILL (INACTIVE),L10001850822,LAND DISPOSAL SITE,PRE-TITLE 27 CAI - CLOSED/NO MONITORING,4TH & NICHOLAS,BEAUMONT,33.9293,-116.9975
BEE CANYON GREENERY,T10000014325,LAND DISPOSAL SITE,OPEN - PROPOSED,11002 BEE CANYON ACCESS ROAD,IRVINE,33.71819,-117.70963
BELL CARTER CLII SURFACE IMP,L10002248429,LAND DISPOSAL SITE,OPEN - OPERATING,GARDINER FERRY RD,CORNING,39.91464091,-122.1054626
BELL JR HIGH LANDFILL,L10007828563,LAND DISPOSAL SITE,OPEN - SITE ASSESSMENT,620 BRIARWOOD ROAD,SAN DIEGO,32.68660411,-117.0394242
BELL-CARTER OLIVE COMPANY,L10005791661,LAND DISPOSAL SITE,OPEN,630 NINTH,ORANGE COVE,36.60746679,-119.3315649
BELLTOWN LANDFILL (INACTIVE),L10002462875,LAND DISPOSAL SITE,OPEN - CLOSED/WITH MONITORING,2700 HALL AVENUE,RIVERSIDE,34.01167081,-117.389431
BELMONT (ISLAND) LANDFILL,L10007597842,LAND DISPOSAL SITE,OPEN - INACTIVE,700 ISLAND PARKWAY,BELMONT,37.528387,-122.270755
"BELRIDGE, SOUTH, SEC 27",L10008498417,LAND DISPOSAL SITE,COMPLETED - CASE CLOSED,"SECTION 27, T28S, R21E, MDB&M",KERN COUNTY,35.46227,-119.69848
BEN LOMOND CLOSED LANDFILL,L10009318484,LAND DISPOSAL SITE,OPEN - CLOSED/WITH MONITORING,9835 NEWELL CREEK RD,BEN LOMOND,37.09115,-122.079458
BENBOW SUBDIVISION,L10007148480,LAND DISPOSAL SITE,OPEN,7772 BENBOW DRIVE,GARBERVILLE,40.07483651,-123.78309
BENEFICIAL AG SERVICES (BAS),T10000009582,LAND DISPOSAL SITE,OPEN - OPERATING,8271 E. CHINO AVENUE,ONTARIO,34.01219,-117.62423
BENSON RIDGE FACILITY,L10006808303,LAND DISPOSAL SITE,OPEN,7620 HWY 29,KELSEYVILLE,38.944406,-122.803919
BENTON CLASS III LANDFILL,L10005825268,LAND DISPOSAL SITE,OPEN - INACTIVE,400 CHRISTIE LANE (32 MI N OF BISHOP),BENTON,37.817717,-118.469857
BENTON CROSSING LANDFILL AND LANDFARM,L10003921707,LAND DISPOSAL SITE,OPEN - OPERATING,899 PIT ROAD (SE OF MAMMOTH LAKES),BENTON CROSSING,37.68582412,-118.7835789
BENTON DUMP,L10001928241,LAND DISPOSAL SITE,OPEN - CLOSING/WITH MONITORING,1700 STILL WATER GLEN,ESCONDIDO,33.165082,-117.119644
BENTZ DUMP,T10000004763,LAND DISPOSAL SITE,COMPLETED - CASE CLOSED,11251 PENDLETON STREET,SUN VALLEY,34.23746383,-118.3780496
BERKELEY LANDFILL (CESAR CHAVEZ PARK),L10006224883,LAND DISPOSAL SITE,OPEN - VERIFICATION MONITORING,11 SPINNAKER WAY,BERKELEY,37.87288864,-122.3196747
BERRY PROPERTY DRAINAGE EASMNT,L10001588783,LAND DISPOSAL SITE,OPEN,27871 PLANTATION,TEHACHAPI,35.158261,-118.62548
BERT CRANE ROAD LANDFILL,L10005810752,LAND DISPOSAL SITE,OPEN - INACTIVE,S BERT CRANE RD,ATWATER,37.27934211,-120.628681
BETHLEHEM STEEL,T10000009315,LAND DISPOSAL SITE,COMPLETED - CASE CLOSED,7100 E. SLAUSON AVE.,COMMERCE,33.97993725,-118.136569
BEVERLY HILLS CITY LANDFILL,T10000004787,LAND DISPOSAL SITE,COMPLETED - CASE CLOSED,COLORADO AVE AND CLOVERFIELD BLVD (2401-2525 COLORADO AVE),SANTA MONICA,34.02990667,-118.4729617
BIANCHI SUMP - SOMIS ARROYO,T10000005095,LAND DISPOSAL SITE,COMPLETED - CASE CLOSED,NORTH OF BERYLWOOD RD & AGGEN RD,SOMIS,34.2855336,-119.034525
BIEBER CLASS III LANDFILL,L10005078943,LAND DISPOSAL SITE,OPEN - CLOSED/WITH MONITORING - LAND USE RESTRICTIONS,BIEBER DUMP RD,BIEBER,41.12940925,-121.1416912
BIG BEAR CLS III WMF,L10007155213,LAND DISPOSAL SITE,OPEN - CLOSED/WITH MONITORING,1.5 MILE OF BALDWIN LAKE,BIG BEAR,34.30541687,-116.8198966
BIG BLUE MINE,T10000013887,LAND DISPOSAL SITE,UNKNOWN,1 MILE (1.6 KM) NORTH OF OLD KERNVILLE AND 2 MILES (3.2 KM) SOUTH OF NEW KERNVILLE (EXACT LOCATION UNKNOWN),KERNVILLE,35.75467,-118.42536
BIG BUZZARD MINE,T10000013096,LAND DISPOSAL SITE,COMPLETED - CASE CLOSED,7993 OAK HILLS LANE,PILOT HILL,38.77265525,-121.1039237
BIG OAK FLAT DISPOSAL SITE,L10007475056,LAND DISPOSAL SITE,OPEN,MERRELL ROAD,GROVELAND,37.8131961,-120.2258105
BILLY WRIGHT SOLID WASTE LANDFILL,L10008618335,LAND DISPOSAL SITE,OPEN - OPERATING,S BILLY WRIGHT ROAD,LOS BANOS,37.04017203,-120.9736364
BIO-GRO SYSTEMS-LANCASTER,L10009721950,LAND DISPOSAL SITE,COMPLETED - CASE CLOSED,140TH ST WEST AND AVE A,LANCASTER,34.815468,-118.38794
BIOGEN POWER PLANT,L10007032360,LAND DISPOSAL SITE,COMPLETED - CASE CLOSED,I-15 NEAR IVANPAH,MOUNTAIN PASS,35.55457449,-115.4294014
BIOINDUSTRIES INC,L10006662229,LAND DISPOSAL SITE,OPEN - CLOSING/WITH MONITORING - LAND USE RESTRICTIONS,19760 CALLAHAN RD,RED BLUFF,40.1821849,-122.3003626
BIOMASS COGENERATION PLANT,L10002453989,LAND DISPOSAL SITE,OPEN - INACTIVE,31500 POND,DELANO,35.717999,-119.233628
BIOREMEDICATION FACILITY,L10005213322,LAND DISPOSAL SITE,OPEN,10503 ARMSTRONG,MATHER,38.568817,-121.298457
BIOSOLIDS RECLAMATION,L10006305872,LAND DISPOSAL SITE,OPEN,CAMINO DIABLO ROAD,BYRON,37.867467,-121.646613
BISHOP MILL/CMC METALS,T10000001785,LAND DISPOSAL SITE,OPEN - PROPOSED,135  RUDOLPH ROAD,BISHOP,37.45516969,-118.363781
BISHOP'S CANYON LANDFILL,L10005101370,LAND DISPOSAL SITE,COMPLETED - CASE CLOSED,1003 ACADEMY,LOS ANGELES,34.08281068,-118.2378804
BISHOP'S CANYON LANDFILL,L10008859354,LAND DISPOSAL SITE,OPEN - CLOSED/WITH MONITORING,1003 ACADEMY,LOS ANGELES,34.08257965,-118.2374941
