SITE NAME,GLOBAL ID,SITE_TYPE,STATUS,ADDRESS,CITY,LATITUDE,LONGITUDE
"AIR FORCE PLANT 42 - SITE 2 T2-1, T2-2, & T2-3 (BLDG 214)",T10000002728,MILITARY UST SITE,COMPLETED - CASE CLOSED,2500 AVE M E,PALMDALE,34.63665508,-118.0854106
AIR FORCE PLANT 42 - SITE 2 UST T2-11,T10000002745,MILITARY UST SITE,COMPLETED - CASE CLOSED,1502 AVE M E,PALMDALE,34.63746278,-118.0900025
AIR FORCE PLANT 42 - SITE 2 UST T2-4 & T2-5 (BLDG 210),T0603700350,MILITARY UST SITE,COMPLETED - CASE CLOSED,2500 AVE M E,PALMDALE,34.63818662,-118.0891657
AIR FORCE PLANT 42 - SITE 2 UST T2-6 (BLDG 210),T0603700226,MILITARY UST SITE,COMPLETED - CASE CLOSED,39959 SIERRA HWY,PALMDALE,34.63758637,-118.090539
"AIR FORCE PLANT 42 - SITE 2 UST T2-7, T2-8, T2-9, T2-10 (BLDG 210)",T0603700372,MILITARY UST SITE,COMPLETED - CASE CLOSED,2500 AVE M E,PALMDALE,34.63813366,-118.0885649
"AIR FORCE PLANT 42 - SITE 27, WASTE PILES",DOD100000500,MILITARY CLEANUP SITE,OPEN - REMEDIATION,2503 EAST AVENUE P,PALMDALE,34.62837016,-118.0967617
"AIR FORCE PLANT 42 - SITE 28, DUST CONTROL AREA",DOD100000900,MILITARY CLEANUP SITE,OPEN - REMEDIATION,2503 EAST AVENUE P,PALMDALE,34.6391223,-118.0871487
"AIR FORCE PLANT 42 - SITE 29, TCE PLUME, PLANT 1",DOD100003000,MILITARY CLEANUP SITE,OPEN - ASSESSMENT & INTERIM REMEDIAL ACTION,2503 EAST AVENUE P,PALMDALE,34.63875156,-118.0989933
AIR FORCE PLANT 42 - SITE 3 - SS003 - ENGINE RUN-UP AREA,DOD100003100,MILITARY CLEANUP SITE,OPEN - REMEDIATION,2503 EAST AVENUE P,PALMDALE,34.62261392,-118.0911183
AIR FORCE PLANT 42 - SITE 3 CLARIFIER C3-16,T10000002776,MILITARY UST SITE,COMPLETED - CASE CLOSED,3520 AVE M E,PALMDALE,34.63885749,-118.0800247
AIR FORCE PLANT 42 - SITE 3 CLARIFIER C3-19 & C3-20 AND SUMP S3-21 & S3-22,T10000002752,MILITARY UST SITE,COMPLETED - CASE CLOSED,3520 AVE M E,PALMDALE,34.64012859,-118.0822563
AIR FORCE PLANT 42 - SITE 3 CLARIFIER C3-28,T10000002754,MILITARY UST SITE,COMPLETED - CASE CLOSED,3520 AVE M E,PALMDALE,34.63829255,-118.0801964
AIR FORCE PLANT 42 - SITE 3 T3-2 & T3-3,T10000002734,MILITARY UST SITE,COMPLETED - CASE CLOSED,1502 AVE M E,PALMDALE,34.63737451,-118.0819988
"AIR FORCE PLANT 42 - SITE 3 T3-4, T3-5, T3-6, T3-7, T3-8, T3-14, T3-15, & S3-27",T10000002736,MILITARY UST SITE,COMPLETED - CASE CLOSED,1502 AVE M E,PALMDALE,34.63843378,-118.0808616
AIR FORCE PLANT 42 - SITE 3 UST T3-1,T10000002775,MILITARY UST SITE,COMPLETED - CASE CLOSED,3520 AVE M E,PALMDALE,34.641639,-118.082585
AIR FORCE PLANT 42 - SITE 3 UST T3-17,T10000002746,MILITARY UST SITE,COMPLETED - CASE CLOSED,1502 AVE M E,PALMDALE,34.63680956,-118.0815268
AIR FORCE PLANT 42 - SITE 3 UST T3-18 & T3-24,T10000002747,MILITARY UST SITE,COMPLETED - CASE CLOSED,3520 AVE M E,PALMDALE,34.6424942,-118.0771494
AIR FORCE PLANT 42 - SITE 3 UST T3-26,T10000002749,MILITARY UST SITE,COMPLETED - CASE CLOSED,3520 AVE M E,PALMDALE,34.64240593,-118.0768919
"AIR FORCE PLANT 42 - SITE 3 UST T3-9, T3-10, T3-11, T3-12, AND T3-13",T10000002737,MILITARY UST SITE,COMPLETED - CASE CLOSED,1502 AVE M E,PALMDALE,34.63832786,-118.0775356
AIR FORCE PLANT 42 - SITE 4 NORTHROP GRUMMAN,T0603700399,MILITARY UST SITE,COMPLETED - CASE CLOSED,3520 E AVE M,PALMDALE,34.64076413,-118.0666351
AIR FORCE PLANT 42 - SITE 4 SURFACE RELEASE UST T4-201 (BLDG 460),T0603799267,MILITARY UST SITE,COMPLETED - CASE CLOSED,3520 EAST AVE. M,PALMDALE ,34.64064055,-118.0665493
AIR FORCE PLANT 42 - SITE 4 UST T4-601 & T4-603 (BLDG 431) PIPELINE RELEASE,T0603700237,MILITARY UST SITE,COMPLETED - CASE CLOSED,3520 EAST AVE M,PALMDALE,34.639546,-118.0684376
"AIR FORCE PLANT 42 - SITE 5 FUEL FARM, UST T5-12, T5-13, T5-14, T5-15, AND T5-16",T0603700275,MILITARY UST SITE,COMPLETED - CASE CLOSED,2501 AVE P E,PALMDALE,34.61293689,-118.1068897
"AIR FORCE PLANT 42 - SITE 5 T5-21, T5-22, & T5-23",T10000002738,MILITARY UST SITE,COMPLETED - CASE CLOSED,2501 AVE P E,PALMDALE,34.62162508,-118.0765915
AIR FORCE PLANT 42 - SITE 5 UST T5-1 & T5-2,T0603700398,MILITARY UST SITE,COMPLETED - CASE CLOSED,PLANT SITE 5 BLDG 531,PALMDALE,34.60989934,-118.0896378
AIR FORCE PLANT 42 - SITE 5 UST T5-17,T10000002766,MILITARY UST SITE,COMPLETED - CASE CLOSED,2501 AVE P E,PALMDALE,34.62183697,-118.0755615
AIR FORCE PLANT 42 - SITE 5 UST T5-20,T10000002905,MILITARY UST SITE,COMPLETED - CASE CLOSED,2501 AVENUE P EAST,PALMDALE,34.62007116,-118.0782223
AIR FORCE PLANT 42 - SITE 5 UST T5-24 (BLDG 531),T10000002907,MILITARY UST SITE,COMPLETED - CASE CLOSED,2501 AVENUE P EAST,PALMDALE,34.62014179,-118.0811512
AIR FORCE PLANT 42 - SITE 5 UST T5-3 & T5-5,T10000002756,MILITARY UST SITE,COMPLETED - CASE CLOSED,2501 AVE P E,PALMDALE,34.62921767,-118.0814838
AIR FORCE PLANT 42 - SITE 5 UST T5-4,T10000002757,MILITARY UST SITE,COMPLETED - CASE CLOSED,2501 AVE P E,PALMDALE,34.62801702,-118.0826426
"AIR FORCE PLANT 42 - SITE 5 UST T5-6, T5-7, T5-8, T5-9, T5-10, T5-11, T5-18, T5-19",T10000002759,MILITARY UST SITE,COMPLETED - CASE CLOSED,2501 AVE P E,PALMDALE,34.62780514,-118.0814409
"AIR FORCE PLANT 42 - SITE 5, ABANDONED FIRE TRAINING CIRCLE",DOD100000300,MILITARY CLEANUP SITE,OPEN - REMEDIATION,2503 EAST AVENUE P,PALMDALE,34.62686934,-118.0939507
AIR FORCE PLANT 42 - SITE 7 BLDG 727,T0603700227,MILITARY UST SITE,COMPLETED - CASE CLOSED,1011 LOCKHEED WAY BLDG 7222,PALMDALE,34.61813755,-118.098768
AIR FORCE PLANT 42 - SITE 7 TANK 7-1 BLDG 752,T0603700346,MILITARY UST SITE,COMPLETED - CASE CLOSED,2001 AVE P E,PALMDALE,34.62386761,-118.0923682
AIR FORCE PLANT 42 - SITE 7 TANK 7-2 BLDG 757,T0603700365,MILITARY UST SITE,COMPLETED - CASE CLOSED,2001 AVE P E,PALMDALE,34.62109534,-118.0913866
AIR FORCE PLANT 42 - SITE 7 TANK 7-3 BLDG 740,T0603700345,MILITARY UST SITE,COMPLETED - CASE CLOSED,2011 AVE P E,PALMDALE,34.61992989,-118.0958176
AIR FORCE PLANT 42 - SITE 7 TANK 7-4 BLDG 730,T0603700366,MILITARY UST SITE,COMPLETED - CASE CLOSED,2001 AVE P E,PALMDALE,34.61865848,-118.0958176
AIR FORCE PLANT 42 - SITE 7 TANK 7-5/C7-10/C7-14 BLDG 722,T0603700367,MILITARY UST SITE,COMPLETED - CASE CLOSED,2001 AVE P E,PALMDALE,34.61913526,-118.0968046
AIR FORCE PLANT 42 - SITE 7 UST 7-12 (BLDG 723),T10000002909,MILITARY UST SITE,COMPLETED - CASE CLOSED,2501 AVENUE P EAST,PALMDALE,34.61968047,-118.0962333
AIR FORCE PLANT 42 - SITE 7 UST 7-13 (BLDG 779),T10000002910,MILITARY UST SITE,COMPLETED - CASE CLOSED,2501 EAST AVENUE P,PALMDALE,34.62043095,-118.0962333
AIR FORCE PLANT 42 - SITE 7 UST T7-11 (BLDG 723),T10000002908,MILITARY UST SITE,COMPLETED - CASE CLOSED,2501 AVENUE P EAST,PALMDALE,34.6196297,-118.0962883
AIR FORCE PLANT 42 - SITE 7 UST T7-15,T10000002769,MILITARY UST SITE,COMPLETED - CASE CLOSED,2001 AVE P E,PALMDALE,34.6180316,-118.0986607
AIR FORCE PLANT 42 - SITE 7 UST T7-16,T10000002770,MILITARY UST SITE,COMPLETED - CASE CLOSED,2001 AVE P E,PALMDALE,34.61653942,-118.099122
"AIR FORCE PLANT 42 - SITE 7, BLDG 722, UST T7-6, T7-7, T7-8",T0603700228,MILITARY UST SITE,COMPLETED - CASE CLOSED,1011 LOCKHEED WAY B7222 STE 7,PALMDALE,34.61895868,-118.0972981
AIR FORCE PLANT 42 - SITE 8 UST T8-1 & T8-3,T10000002771,MILITARY UST SITE,COMPLETED - CASE CLOSED,2001 AVE P E,PALMDALE,34.62190761,-118.1092072
AIR FORCE PLANT 42 - SITE 8 UST T8-2 (BLDG 870),T10000002911,MILITARY UST SITE,COMPLETED - CASE CLOSED,2501 AVENUE P EAST,PALMDALE,34.62249914,-118.1111276
AIR FORCE PLANT 42 - SS007 - ENGINE RUN-UP AREA,DOD100002000,MILITARY CLEANUP SITE,OPEN - REMEDIATION,2503 EAST AVENUE P,PALMDALE,34.63781588,-118.0862689
AIR FORCE PLANT 42 - SS008 - FUEL TRANSFER AREA,DOD100003800,MILITARY CLEANUP SITE,OPEN - REMEDIATION,2503 EAST AVENUE P,PALMDALE,34.62116597,-118.1142497
AIR FORCE PLANT 42 - SS012 - ENGINE RUN-UP AREA,DOD100000800,MILITARY CLEANUP SITE,OPEN - REMEDIATION,2503 EAST AVENUE P,PALMDALE,34.63668598,-118.0951953
AIR FORCE PLANT 42 - SS014 - ENGINE RUN-UP AREA,DOD100001000,MILITARY CLEANUP SITE,OPEN - REMEDIATION,2503 EAST AVENUE P,PALMDALE,34.63636819,-118.089627
AIR FORCE PLANT 42 - SS015 - TRIETHYL BORANE (TEB) DISPOSAL AREA,DOD100001900,MILITARY CLEANUP SITE,OPEN - REMEDIATION,2503 EAST AVENUE P,PALMDALE,34.63635054,-118.0882376
AIR FORCE PLANT 42 - SS019 - ENGINE RUN-UP AREA,DOD100001200,MILITARY CLEANUP SITE,OPEN - REMEDIATION,2503 EAST AVENUE P,PALMDALE,34.64240593,-118.0837369
AIR FORCE PLANT 42 - SS020 - NOISE LEVEL AREA,DOD100000100,MILITARY CLEANUP SITE,OPEN - REMEDIATION,2503 EAST AVENUE P,PALMDALE,34.63635054,-118.0854106
AIR FORCE PLANT 42 - SS022 - ENGINE RUN-UP AREA,DOD100003200,MILITARY CLEANUP SITE,OPEN - REMEDIATION,2503 EAST AVENUE P,PALMDALE,34.61448211,-118.0891442
AIR FORCE PLANT 42 - ST004 - VEHICLE WASHRACK AND LEAKING UST,DOD100003700,MILITARY CLEANUP SITE,OPEN - REMEDIATION,2503 EAST AVENUE P,PALMDALE,34.62072452,-118.0813551
AIR FORCE PLANT 42 - ST026 - BATTERY SHOP UST,DOD100003600,MILITARY CLEANUP SITE,OPEN - REMEDIATION,2503 EAST AVENUE P,PALMDALE,34.62019477,-118.081162
ALAMEDA NAVAL AIR STATION - ALAMEDA NAVAL AIR STATION_APS,T10000012746,MILITARY CLEANUP SITE,COMPLETED - CASE CLOSED,SARATOGA,ALAMEDA,37.77186,-122.29721
ALAMEDA NAVAL AIR STATION - AOC 001,T0600192073,MILITARY UST SITE,COMPLETED - CASE CLOSED,2450 SARATOGA STREET SUITE 200,ALAMEDA POINT,37.7719,-122.2912
ALAMEDA NAVAL AIR STATION - AOC 003,T10000001387,MILITARY CLEANUP SITE,COMPLETED - CASE CLOSED,"2450 SARATOGA STREET, SUITE 200",ALAMEDA,37.77241088,-122.2945905
ALAMEDA NAVAL AIR STATION - AOC 005,T10000003029,MILITARY CLEANUP SITE,COMPLETED - CASE CLOSED,"2450 SARATOGA STREET, SUITE 200",ALAMEDA,37.77246819,-122.2977233
ALAMEDA NAVAL AIR STATION - AOC 023,T10000004347,MILITARY CLEANUP SITE,COMPLETED - CASE CLOSED,"2450 SARATOGA STREET., SUITE 200",ALAMEDA,37.78000911,-122.2980881
ALAMEDA NAVAL AIR STATION - AOC 023G,T10000001374,MILITARY UST SITE,COMPLETED - CASE CLOSED,"2450 SARATOGA STREET, SUITE 200",ALAMEDA,37.79093666,-122.3067865
ALAMEDA NAVAL AIR STATION - AST 008,T10000001376,MILITARY CLEANUP SITE,COMPLETED - CASE CLOSED,"2450 SARATOGA STREET, SUITE 200",ALAMEDA,37.78400251,-122.3015763
ALAMEDA NAVAL AIR STATION - AST 010A THROUGH 010J,T10000001377,MILITARY CLEANUP SITE,COMPLETED - CASE CLOSED,"2450 SARATOGA STREET, SUITE 200",ALAMEDA,37.78334612,-122.3029871
ALAMEDA NAVAL AIR STATION - AST 010K,T10000001378,MILITARY CLEANUP SITE,COMPLETED - CASE CLOSED,"2450 SARATOGA STREET, SUITE 200",ALAMEDA,37.78352176,-122.3024695
ALAMEDA NAVAL AIR STATION - AST 015,T10000001373,MILITARY CLEANUP SITE,OPEN - SITE ASSESSMENT,"2450 SARATOGA STREET, SUITE 200",ALAMEDA,37.77600657,-122.2990537
ALAMEDA NAVAL AIR STATION - AST 015-2,T10000001380,MILITARY CLEANUP SITE,OPEN - SITE ASSESSMENT,"2450 SARATOGA STREET, SUITE 200",ALAMEDA,37.77819443,-122.3048258
ALAMEDA NAVAL AIR STATION - AST 016,T10000001381,MILITARY CLEANUP SITE,COMPLETED - CASE CLOSED,"2450 SARATOGA STREET, SUITE 200",ALAMEDA,37.78676964,-122.3012719
ALAMEDA NAVAL AIR STATION - AST 021B,T10000001384,MILITARY CLEANUP SITE,COMPLETED - CASE CLOSED,"2450 SARATOGA STREET, SUITE 200",ALAMEDA,37.78746764,-122.3097315
ALAMEDA NAVAL AIR STATION - AST 039,T10000001388,MILITARY CLEANUP SITE,COMPLETED - CASE CLOSED,"2450 SARATOGA STREET, SUITE 200",ALAMEDA,37.78182363,-122.3027149
ALAMEDA NAVAL AIR STATION - AST 152,T10000001390,MILITARY CLEANUP SITE,COMPLETED - CASE CLOSED,"2450 SARATOGA STREET, SUITE 200",ALAMEDA,37.78485195,-122.2926781
ALAMEDA NAVAL AIR STATION - AST 173A THROUGH 173C,T10000001391,MILITARY CLEANUP SITE,COMPLETED - CASE CLOSED,"2450 SARATOGA STREET, SUITE 200",ALAMEDA,37.78068081,-122.2919576
ALAMEDA NAVAL AIR STATION - AST 176,T10000001392,MILITARY CLEANUP SITE,COMPLETED - CASE CLOSED,"2450 SARATOGA STREET, SUITE 200",ALAMEDA,37.78927689,-122.2976482
ALAMEDA NAVAL AIR STATION - AST 179,T10000001393,MILITARY CLEANUP SITE,COMPLETED - CASE CLOSED,"2450 SARATOGA STREET, SUITE 200",ALAMEDA,37.79363904,-122.3188108
ALAMEDA NAVAL AIR STATION - AST 324,T10000001394,MILITARY CLEANUP SITE,COMPLETED - CASE CLOSED,"2450 SARATOGA STREET, SUITE 200",ALAMEDA,37.77624299,-122.292442
ALAMEDA NAVAL AIR STATION - AST 325,T10000001395,MILITARY CLEANUP SITE,COMPLETED - CASE CLOSED,"2450 SARATOGA STREET, SUITE 200",ALAMEDA,37.77604049,-122.2924608
ALAMEDA NAVAL AIR STATION - AST 326,T10000001396,MILITARY CLEANUP SITE,COMPLETED - CASE CLOSED,"2450 SARATOGA STREET, SUITE 200",ALAMEDA,37.77584502,-122.2924742
ALAMEDA NAVAL AIR STATION - AST 327,T10000001397,MILITARY CLEANUP SITE,COMPLETED - CASE CLOSED,"2450 SARATOGA STREET, SUITE 200",ALAMEDA,37.77567054,-122.2924823
ALAMEDA NAVAL AIR STATION - AST 328,T10000001398,MILITARY CLEANUP SITE,COMPLETED - CASE CLOSED,"2450 SARATOGA STREET, SUITE 200",ALAMEDA,37.77548529,-122.292493
ALAMEDA NAVAL AIR STATION - AST 330A,T10000001399,MILITARY CLEANUP SITE,COMPLETED - CASE CLOSED - LAND USE RESTRICTIONS,"2450 SARATOGA STREET, SUITE 200",ALAMEDA,37.79322572,-122.3154446
ALAMEDA NAVAL AIR STATION - AST 330B,T10000003624,MILITARY CLEANUP SITE,OPEN - SITE ASSESSMENT,"2450 SARATOGA STREET, SUITE 200",ALAMEDA,37.7865655,-122.3021203
ALAMEDA NAVAL AIR STATION - AST 338-D4,T10000001400,MILITARY CLEANUP SITE,COMPLETED - CASE CLOSED,"2450 SARATOGA STREET, SUITE 200",ALAMEDA,37.77273285,-122.2912793
ALAMEDA NAVAL AIR STATION - AST 342A AND 342B AND FUEL LINE 163,T10000001401,MILITARY CLEANUP SITE,COMPLETED - CASE CLOSED,"2450 SARATOGA STREET, SUITE 200",ALAMEDA,37.77180027,-122.2974229
ALAMEDA NAVAL AIR STATION - AST 344A,T10000001402,MILITARY CLEANUP SITE,COMPLETED - CASE CLOSED,"2450 SARATOGA STREET, SUITE 200",ALAMEDA,37.79305298,-122.3155251
ALAMEDA NAVAL AIR STATION - AST 344B,T10000005630,MILITARY CLEANUP SITE,COMPLETED - CASE CLOSED,"2450 SARATOGA STREET, SUITE 200",ALAMEDA,37.79290546,-122.3153103
ALAMEDA NAVAL AIR STATION - AST 344C,T10000005632,MILITARY CLEANUP SITE,COMPLETED - CASE CLOSED,"2450 SARATOGA STREET, SUITE 200",ALAMEDA,37.79290652,-122.3151642
ALAMEDA NAVAL AIR STATION - AST 344D,T10000005633,MILITARY CLEANUP SITE,COMPLETED - CASE CLOSED,2450 SARATOGA STREET. SUITE 200,ALAMEDA,37.79301992,-122.3151695
ALAMEDA NAVAL AIR STATION - AST 345A,T10000001403,MILITARY CLEANUP SITE,COMPLETED - CASE CLOSED,"2450 SARATOGA STREET, SUITE 200",ALAMEDA,37.79289295,-122.3146373
ALAMEDA NAVAL AIR STATION - AST 345B,T10000005671,MILITARY CLEANUP SITE,COMPLETED - CASE CLOSED,2450 SARATOGA AVE.,ALAMEDA,37.79293513,-122.3147752
ALAMEDA NAVAL AIR STATION - AST 345C,T10000005672,MILITARY CLEANUP SITE,COMPLETED - CASE CLOSED,"2450 SARATOGA ST, SUITE 200",ALAMEDA,37.79291324,-122.3148249
ALAMEDA NAVAL AIR STATION - AST 357A,T10000001404,MILITARY CLEANUP SITE,COMPLETED - CASE CLOSED,"2450 SARATOGA STREET, SUITE 200",ALAMEDA,37.79386371,-122.3198783
ALAMEDA NAVAL AIR STATION - AST 360A THROUGH 360C,T10000001405,MILITARY CLEANUP SITE,COMPLETED - CASE CLOSED,"2450 SARATOGA STREET, SUITE 200",ALAMEDA,37.77895983,-122.2931257
ALAMEDA NAVAL AIR STATION - AST 392,T10000001407,MILITARY CLEANUP SITE,COMPLETED - CASE CLOSED,"2450 SARATOGA STREET, SUITE 200",ALAMEDA,37.78499503,-122.2975945
ALAMEDA NAVAL AIR STATION - AST 398-1 THROUGH 398-3/NADEP GAP 44,T10000001408,MILITARY CLEANUP SITE,COMPLETED - CASE CLOSED,"2450 SARATOGA STREET, SUITE 200",ALAMEDA,37.78023365,-122.2965994
ALAMEDA NAVAL AIR STATION - AST 405A,T10000001409,MILITARY CLEANUP SITE,COMPLETED - CASE CLOSED,"2450 SARATOGA STREET, SUITE 200",ALAMEDA,37.78441209,-122.3078969
ALAMEDA NAVAL AIR STATION - AST 405B,T10000001435,MILITARY CLEANUP SITE,COMPLETED - CASE CLOSED,"2450 SARATOGA STREET, SUITE 200",ALAMEDA,37.78482085,-122.3078513
ALAMEDA NAVAL AIR STATION - AST 488,T10000001416,MILITARY CLEANUP SITE,COMPLETED - CASE CLOSED,"2450 SARATOGA STREET, SUITE 200",ALAMEDA,37.78642482,-122.3144415
ALAMEDA NAVAL AIR STATION - AST 494,T10000001417,MILITARY CLEANUP SITE,COMPLETED - CASE CLOSED,"2450 SARATOGA STREET, SUITE 200",ALAMEDA,37.77954485,-122.3095867
ALAMEDA NAVAL AIR STATION - AST 511A,T10000001420,MILITARY CLEANUP SITE,COMPLETED - CASE CLOSED,"2450 SARATOGA STREET, SUITE 200",ALAMEDA,37.7904109,-122.3146158
ALAMEDA NAVAL AIR STATION - AST 511B,T10000004654,MILITARY UST SITE,COMPLETED - CASE CLOSED,WEST HORNET AVENUE,ALAMEDA,37.79103195,-122.3146293
ALAMEDA NAVAL AIR STATION - AST 528,T10000001421,MILITARY CLEANUP SITE,COMPLETED - CASE CLOSED,"2450 SARATOGA STREET, SUITE 200",ALAMEDA,37.79302013,-122.3179887
