"TRI FACILITY REPORT","TRI FACILITY ID","FACILITY NAME","ADDRESS","COUNTY NAME","LATITUDELONGITUDE","TOTAL FORMS","LAST FORM","RISK SCREENING","P2 REPORT"
"","94565CMSTL761PO","ACME PACKAGING CORP  BAY POINT","761 PORT CHICAGO HWYBAY POINT, CA 945651596","CONTRA COSTA","38.03593, -121.96047","12","1998","N/A",""
"","94565CMSTL855PA","ACME PACKAGING CORP PITTSBURG EAST FACILITY","855 N PARKSIDE DRPITTSBURG, CA 945653799","CONTRA COSTA","38.02541, -121.90072","6","1993","N/A",""
"","91744CRNNG15125","ACORN ENGINEERING CO","15125 PROCTOR AVECITY OF INDUSTRY, CA 91744","LOS ANGELES","34.02564, -117.96841","8","1994","N/A",""
"","95126CRNNC490RA","ACRIAN INC","490 RACE STSAN JOSE, CA 95126","SANTA CLARA","37.31903, -121.9111","3","1987","N/A",""
"","95112CTLCT5500H","ACT ELECTRONICS INC.","5500 HELYER AVESAN JOSE, CA 95112","SANTA CLARA","37.26625, -121.7903","5","2006","N/A",""
"","93606CTGRN4516N","ACTAGRO LLC","4516 N HOWARD AVEBIOLA, CA 93606","FRESNO","36.800677, -120.024597","41","2018","Report",""
"","94063CTRNC851SH","ACTERON CORP","851 SHASTA STREDWOOD CITY, CA 94063","SAN MATEO","37.47907, -122.22226","2","1988","N/A",""
"","91406CTNCM16214","ACTION COMPUTER PRODUCT SALES","16214 LINDBERGH STVAN NUYS, CA 91406","LOS ANGELES","34.21414, -118.48653","4","2002","N/A",""
"","90660CTVRC8455F","ACTIVAR CO INC  (DBA  AIR LOUVERS)","8455 E LOCH LOMOND DRPICO RIVERA, CA 90660","LOS ANGELES","34.00024, -118.09351","3","1995","N/A",""
"","9135WCTVMG93561","ACTIVE MAGNETIC INSPECTION INC","9356 1/2 SAN FERNANDO ROAD, UNIT BSUN VALLEY, CA 91352","LOS ANGELES","34.239233, -118.393679","24","2018","Report",""
"","90039CTVSP5433S","ACTIVE SUPPLY CO","5433 SAN FERNANDO RD WLOS ANGELES, CA 90039","LOS ANGELES","34.15175, -118.27525","26","1997","N/A",""
"","92008CSHNT2819E","ACUSHNET CO","2819 LOKER AVE ECARLSBAD, CA 92008","SAN DIEGO","33.13137, -117.25118","18","2008","Report",""
"","91304CSNCR8357C","ACUSON CORP","8357 CANOGA AVECANOGA PARK, CA 91304","LOS ANGELES","34.22159, -118.59752","2","1993","N/A",""
"","9591WDMSVG731JH","ADAMS VEGETABLE OILS","7301 JOHN GALT WAYARBUCKLE, CA 95912","COLUSA","38.93023, -121.992858","8","2015","Report",""
"","9230WDLNTP1223V","ADELANTO PLANT 19","12203 VIOLET RDADELANTO, CA 92301","SAN BERNARDINO","34.56105, -117.39785","10","2018","Report",""
"","92173HNYWL2055D","ADEMCO INC","2055 DUBLIN DRSAN DIEGO, CA 92154","SAN DIEGO","32.56158, -116.97543","90","2018","Report",""
"","94518DLCRC1081S","ADL CIRCUITS INC","1081 SHARY CIRCLECONCORD, CA 94518","CONTRA COSTA","37.95545, -122.03139","1","1987","N/A",""
"","90023DMMLL1542S","ADM MILLING CO","1542 S CALADA STLOS ANGELES, CA 90023","LOS ANGELES","34.01544, -118.19802","2","2003","N/A",""
"","93725DMPCK3390S","ADM PACKAGED OILS","3390 S CHESTNUTFRESNO, CA 93725","FRESNO","36.6868, -119.73582","5","2001","N/A",""
"","92806DMRLL1400N","ADMIRAL ALUMINUM","1400 N DALY STANAHEIM, CA 92806","ORANGE","33.85468, -117.88564","2","1988","N/A",""
"","93101DMRLM414OL","ADMIRAL MATERIALS CORP","414 OLIVE STSANTA BARBARA, CA 93101","SANTA BARBARA","34.421482, -119.688966","1","1988","N/A",""
"","92702DHRFR9923S","ADOHR FARMS","9923 S ATLANTIC AVESOUTH GATE, CA 902806448","LOS ANGELES","33.94028, -118.18179","6","2002","N/A",""
"","94303DVLLY844EA","ADVALLOY INC","844 E CHARLESTON RDPALO ALTO, CA 943030801","SAN MATEO","37.42197, -122.1033","2","1988","N/A",""
"","90221CRCST1031S","ADVANCED ENERGY SOURCES","1031 S SANTA FE AVECOMPTON, CA 90221","LOS ANGELES","33.88671, -118.21589","16","1996","N/A",""
"","92335DVNCD13579","ADVANCED ENVIRONMENTAL INC","13579 WHITTRAM AVEFONTANA, CA 92335","SAN BERNARDINO","34.09461, -117.5091","24","2008","Report",""
"","94086DVNCD1165E","ADVANCED MICRO DEVICES INC","1165 E ARQUES AVESUNNYVALE, CA 94086","SANTA CLARA","37.3816, -121.9968","12","1990","N/A",""
"","95014DVNCD3625P","ADVANCED MICRO DEVICES INC","3625 PETERSON WAYSANTA CLARA, CA 950143453","SANTA CLARA","37.386134, -121.984164","1","1988","N/A",""
"","94088DVNCD901TH","ADVANCED MICRO DEVICES INC 901 FACILITY","901 THOMPSON PLSUNNYVALE, CA 94086","SANTA CLARA","37.3825, -122.0086","10","1991","N/A",""
"","90248DVNCD16131","ADVANCED PACKAGING & PRODUCTS CO","16131 S MAPLE AVEGARDENA, CA 90248","LOS ANGELES","33.88489, -118.27069","6","1993","N/A",""
"","95050DVNCD2210W","ADVANCED RADIATION CORP","2210 WALSH AVESANTA CLARA, CA 95050","SANTA CLARA","37.36951, -121.963533","19","2018","Report",""
"","91761LPRTW1620S","ADVANTIS TECHS INC","1620 S PROFORMA AVEONTARIO, CA 91761","SAN BERNARDINO","34.04391, -117.59736","7","2002","N/A",""
"","94544RCCMN3677H","AERC RECYCLING SOLUTIONS","30677 HUNTWOOD AVEHAYWARD, CA 94544","ALAMEDA","37.61801, -122.0548","16","2018","Report",""
"","91402CRWNC14660","AERO CHROME PLATING","14660 ARMINTA STPANORAMA CITY, CA 91402","LOS ANGELES","34.2134, -118.45204","18","2018","N/A",""
"","90640RWHLB69ACC","AERO WHEEL & BRAKE CORP","6900 ACCO STMONTEBELLO, CA 90640","LOS ANGELES","33.99953, -118.12624","1","2004","N/A",""
"","90501CNSYS548AM","AERO-ELECTRIC CONNECTOR INC","518 AMAPOLA AVETORRANCE, CA 90501","LOS ANGELES","33.843, -118.32349","44","2018","Report",""
"","9072WRCRFT1571M","AEROCRAFT HEAT TREATING CO INC","15701 MINNESOTA AVENUEPARAMOUNT, CA 90723","LOS ANGELES","33.89029, -118.1667","54","2018","Report",""
"","95670RJTGNAEROJ","AEROJET - SACRAMENTO OPERATIONS","AEROJET RD & HWY 50RANCHO CORDOVA, CA 95742","SACRAMENTO","38.60421, -121.281122","157","2009","Report",""
"","92805RSCNT1244S","AEROSCIENTIFIC CORP","1244 S CLAUDINA STANAHEIM, CA 92805","ORANGE","33.81636, -117.90492","34","1991","N/A",""
"","9135WRSPCD2554R","AEROSPACE DYNAMICS INTERNATIONAL INC","25540 RYE CANYON RDVALENCIA, CA 91355","LOS ANGELES","34.43398, -118.58331","9","2018","Report",""
"","90670RSPCR8535D","AEROSPACE RIVET MFG CORP","8535 DICE RDSANTA FE SPRINGS, CA 90670","LOS ANGELES","33.96348, -118.06588","9","1994","N/A",""
"","92071RWNDC9429A","AEROWIND CORP","1800 JOHN TOWERS AVE #AEL CAJON, CA 92020","SAN DIEGO","32.82018, -116.97885","8","1993","N/A",""
"","94577RVPCF2424M","AERVOE-PACIFIC CO INC","2424 MERCED STSAN LEANDRO, CA 94577","ALAMEDA","37.70684, -122.1697","6","1987","N/A",""
"","95605FFYMT890EM","AFFYMETRIX","890 EMBARCADERO DRWEST SACRAMENTO, CA 95605","YOLO","38.58664, -121.56344","9","2008","Report",""
"","94086FFYMT1145S","AFFYMETRIX INC","1145 SONORA CTSUNNYVALE, CA 94086","SANTA CLARA","37.37153, -122.00101","4","2001","N/A",""
"","92392FGNDS17300","AFG INDUSTRIES INC VICTORVILLE PLANT","17300 SILICA DRVICTORVILLE, CA 92392","SAN BERNARDINO","34.4797, -117.2856","14","1999","N/A",""
"","90039GLYNN4578B","AG LAYNE INC","4578 BRAZIL STLOS ANGELES, CA 90039","LOS ANGELES","34.14683, -118.27534","109","2018","Report",""
"","92801NLCPR1107E","AGC NELCO AMERICA","1107 E KIMBERLYANAHEIM, CA 92801","ORANGE","33.862701, -117.908295","77","2018","Report",""
"","95052HWLTT5301S","AGILENT TECHNOLOGIES INC","5301 STEVENS CREEK BLVDSANTA CLARA, CA 95051","SANTA CLARA","37.32311, -121.99681","79","2018","Report",""
"","95630GLNTT91BLU","AGILENT TECHNOLOGIES INC","91 BLUE RAVINE RDFOLSOM, CA 95630","SACRAMENTO","38.652835, -121.186949","21","2018","Report",""
"","92630VRNNC252CM","AGILENT TECHNOLOGIES INC.","25200 COMMERCENTRE DRLAKE FOREST, CA 926308810","ORANGE","33.66793, -117.68883","20","2014","Report",""
"","94560VNTKN39201","AGILENT TECHS","39201 CHERRY STNEWARK, CA 94560","ALAMEDA","37.5194, -122.00669","16","2000","N/A",""
"","95131HWLTT350WT","AGILENT TECHS","350 W TRIMBLE RDSAN JOSE, CA 951311008","SANTA CLARA","37.38238, -121.93517","134","2000","N/A",""
"","95076RCHRD345HA","AGRILINK FOODS INC","345 HARVEST DRWATSONVILLE, CA 950771510","SANTA CRUZ","36.9025, -121.763611","6","1999","N/A",""
"","90247HFDCM131EG","AHF DUCOMMUN INC","131 E GARDENA BLVDCARSON, CA 90248","LOS ANGELES","33.88227, -118.26725","11","1993","N/A",""
"","9460WCLBSB5123R","AIC LABS BUILDING 1","501 23RD AVEOAKLAND, CA 94606","ALAMEDA","37.774677, -122.2361","6","2017","Report",""
"","90220RCRGQ17923","AIR CARGO EQUIPMENT CORP","17923 S SANTA FERANCHO DOMINGUEZ, CA 90220","LOS ANGELES","33.86832, -118.21292","5","1991","N/A",""
"","92841RNDST71CHA","AIR INDUSTRIES CO","7100 CHAPMAN AVEGARDEN GROVE, CA 92841","ORANGE","33.7883, -118.00926","3","2015","Report",""
"","92641RNDST12570","AIR INDUSTRIES CO A PCC CO","12570 KNOTT STGARDEN GROVE, CA 92841","ORANGE","33.77955, -118.01117","166","2018","Report",""
"","90670LQDRC8832D","AIR LIQUIDE AMERICA CORP","8832 DICE RDSANTA FE SPRINGS, CA 90670","LOS ANGELES","33.95925, -118.06583","5","2002","N/A",""
"","94587LQDRC700DE","AIR LIQUIDE AMERICA CORP","700 DECOTO RDUNION CITY, CA 945873513","ALAMEDA","37.5967, -122.01717","12","1997","N/A",""
"","90245RLQDL131EE","AIR LIQUIDE LARGE INDUSTRIES US LP - EL SEGUNDO","1310 E EL SEGUNDO BLVDEL SEGUNDO, CA 90245","LOS ANGELES","33.905833, -118.401944","82","2018","Report",""
"","9457WRLQDL1391S","AIR LIQUIDE LARGE INDUSTRIES US LP - RODEO HYDROGEN PLANT","1391 SAN PABLO AVENUERODEO, CA 94572","CONTRA COSTA","38.047952, -122.256895","26","2018","Report",""
"","91109RLGST3600E","AIR LOGISTICS CORP","3600 E FOOTHILL BLVDPASADENA, CA 91109","LOS ANGELES","34.15018, -118.07586","1","1987","N/A",""
"","90744RPRDS700HE","AIR PRODUCTS & CHEMICALS INC","700 N HENRY FORD AVEWILMINGTON, CA 90744","LOS ANGELES","33.780833, -118.241111","88","2018","Report",""
"","90810RPRDS23300","AIR PRODUCTS & CHEMICALS INC","23300 S ALAMEDA STCARSON, CA 90810","LOS ANGELES","33.812778, -118.231389","37","2018","Report",""
"","95632RPRDC98IND","AIR PRODUCTS & CHEMICALS INC","98 INDL CTGALT, CA 95632","SACRAMENTO","38.266013, -121.310147","7","1993","N/A",""
"","94553RPRDS110WA","AIR PRODUCTS & CHEMICALS INC (MARTINEZ-WATERFRONT ROAD)","110 WATERFRONT RD GATE 75MARTINEZ, CA 94553","CONTRA COSTA","38.032767, -122.07594","113","2018","Report",""
"","94553RPRDSTRACT","AIR PRODUCTS & CHEMICALS INC MARTINEZ SOLANO WAY","SOLANO WAY TRACK 1 D STREET GATEMARTINEZ, CA 94553","CONTRA COSTA","38.026667, -122.067222","39","2018","Report",""
"","95054RPRDC1515N","AIR PRODUCTS MANUFACTURING CORP","1515 NORMAN AVESANTA CLARA, CA 95054","SANTA CLARA","37.38466, -121.95694","6","1993","N/A",""
"","90245RPRDC2021E","AIR PRODUCTS MANUFACTURING CORP  EL SEGUNDO CA FAC","2021 E ROSECRANS AVEEL SEGUNDO, CA 90245","LOS ANGELES","33.90195, -118.39119","6","1993","N/A",""
"","95206STCKT1010Z","AIR PRODUCTS MANUFACTURING CORPORATION - STOCKTON COGEN","1010 ZEPHYR STSTOCKTON, CA 952064208","SAN JOAQUIN","37.913056, -121.261944","161","2011","Report",""
"","91748RPRDC17801","AIR PRODUCTS POLYMERS LP","17801 ARENTH AVECITY OF INDUSTRY, CA 91748","LOS ANGELES","34.00529, -117.91525","33","2002","N/A",""
"","90670RTRDS13220","AIR TREADS INC LOS ANGELES DIV","13220 MOLETTE STSANTA FE SPRINGS, CA 90670","LOS ANGELES","33.89145, -118.05052","1","1988","N/A",""
"","92327RCNDS36938","AIRCO INDUSTRIAL GASES","36938 SANTA FE RDDAGGETT, CA 92327","SAN BERNARDINO","34.858576, -116.855173","5","1988","N/A",""
"","90255RCRFT5316P","AIRCRAFT FOUNDRY CO INC","5316 PACIFIC BLVDHUNTINGTON PARK, CA 90255","LOS ANGELES","33.99413, -118.22524","1","2000","N/A",""
"","90250RCRFT12233","AIRCRAFT PLATING CO INC","12233 S PRAIRIE AVEHAWTHORNE, CA 90250","LOS ANGELES","33.92117, -118.34388","10","1997","N/A",""
"","90255RCRFT5216P","AIRCRAFT X-RAY LABORATORIES INC","5216 PACIFIC BLVDHUNTINGTON PARK, CA 90255","LOS ANGELES","33.99519, -118.22526","48","2018","Report",""
"","90009LLDSG9851S","AIRESEARCH LOS ANGELES DIV","9851 SEPULVEDA BLVDLOS ANGELES, CA 90009","LOS ANGELES","34.249377, -118.467555","9","1990","N/A",""
"","94577RCSPP1588D","AIRGAS","1588 DOOLITTLE DRSAN LEANDRO, CA 94577","SANTA CLARA","37.711, -122.18421","9","2005","N/A",""
"","90503RGSDR3535D","AIRGAS DRY ICE","2535 DEL AMO BLVDTORRANCE, CA 90503","LOS ANGELES","33.84718, -118.332562","16","2018","Report",""
"","94804RGSDR731BW","AIRGAS DRY ICE","731 W CUTTING BLVDRICHMOND, CA 94804","CONTRA COSTA","37.92613, -122.37627","11","2018","Report",""
"","95815RCXXX3011A","AIRGAS NORTHERN CALIFORNIA & NEVADA INC","3011 ACADEMY WAYSACRAMENTO, CA 95815","SACRAMENTO","38.62111, -121.4262","7","2002","N/A",""
"","90638LRCHN15116","AIRGAS SPECIALTY PRODUCTS LA MIRADA","15116 CANARY AVELA MIRADA, CA 90638","LOS ANGELES","33.893531, -118.02294","19","2012","Report",""
"","9250WRGSSP627WI","AIRGAS SPECIALTY PRODUCTS-RIVERSIDE CA","6270 WILDERNESS AVERIVERSIDE, CA 92504","RIVERSIDE","33.9575, -117.446663","10","2018","Report",""
"","90055SCLRG11711","AIRGAS USA LLC","11711 S ALAMEDA STLOS ANGELES, CA 90059","LOS ANGELES","33.92687, -118.22522","26","2017","Report",""
"","90744RLQDC1502W","AIRGAS USA LLC","1502 W ANAHEIM STWILMINGTON, CA 90744","LOS ANGELES","33.778794, -118.284101","23","2018","Report",""
"","91766RGSWS1340E","AIRGAS USA LLC","1340 E MISSION BLVDPOMONA, CA 91766","LOS ANGELES","34.05562, -117.72928","19","2018","Report",""
"","92123RGSWS9010C","AIRGAS USA LLC","9010 CLAIREMONT MESA BLVDSAN DIEGO, CA 92123","SAN DIEGO","32.83149, -117.1341","18","2017","Report",""
"","93308RGSSL694ME","AIRGAS USA LLC","6940 MEANY AVEBAKERSFIELD, CA 93308","KERN","35.39419, -119.07953","1","2012","Report",""
"","9582WRGSNC681FL","AIRGAS USA LLC","6801 FLORIN PERKINS ROADSACRAMENTO, CA 95828","SACRAMENTO","38.504299, -121.388756","9","2016","N/A",""
"","95110RGSXX441HB","AIRGAS USA LLC - SAN JOSE","441 HOBSON STSAN JOSE, CA 95110","SANTA CLARA","37.34167, -121.90721","13","2018","N/A",""
"","91010RGSWS2250B","AIRGAS WEST-DUARTE","2250 BUENA VISTA STDUARTE, CA 91010","LOS ANGELES","34.12346, -117.97753","7","2006","N/A",""
"","90245RTDVR1700E","AIRITE CO","1700 E GRAND AVEEL SEGUNDO, CA 90245","LOS ANGELES","33.91945, -118.39799","4","1988","N/A",""
"","95206SNLCT199FR","AISIN ELECTRONICS INC.","199 FRANK WEST CIRCLESTOCKTON, CA 95206","SAN JOAQUIN","37.89681, -121.27919","10","2010","Report",""
"","95050KSHCM3570R","AKASHIC MEMORIES CORP","3570 RYDER STSANTA CLARA, CA 95050","SANTA CLARA","37.37635, -121.99512","6","1993","N/A",""
"","95134KSHCM305WT","AKASHIC MEMORIES CORP","305 W TASMAN DRSAN JOSE, CA 95134","SANTA CLARA","37.4114, -121.95768","4","1993","N/A",""
"","90502KZCTN20846","AKZO COATINGS INC","20846 S NORMANDIE AVETORRANCE, CA 90502","LOS ANGELES","33.84108, -118.29923","13","1988","N/A",""
"","92621RLNCN1215W","AKZO COATINGS INC","1215 W LAMBERT RDBREA, CA 92821","ORANGE","33.92463, -117.91666","30","1990","N/A",""
"","92665KZCTN434WE","AKZO NOBEL COATINGS INC","434 W MEATS AVEORANGE, CA 92865","ORANGE","33.822886, -117.855896","241","2006","N/A",""
"","95928LTRNT311OT","AKZONOBEL COATINGS","311 OTTERSON DRCHICO, CA 95928","BUTTE","39.70682, -121.81824","67","2008","Report",""
"","95361LGLBR304NY","AL GILBERT CO","304 YOSEMITE AVEOAKDALE, CA 95361","STANISLAUS","37.76917, -120.84874","81","2018","N/A",""
"","9530WLGLBR4431J","AL GILBERT CO DBA BERRY FEED & SEED","4431 JESSUP RD.CERES, CA 95307","STANISLAUS","37.55126, -120.91278","5","2018","N/A",""
"","90061LSPLT318W1","AL'S PLATING CO INC","318 W 131ST STLOS ANGELES, CA 900611104","LOS ANGELES","33.91332, -118.27912","30","1998","N/A",""
"","92337LBMMT1193B","ALABAMA METAL INDUSTRIES CORPORATION","11093 BEECH AVENUEFONTANA, CA 92335","SAN BERNARDINO","34.05284, -117.47133","17","2011","Report",""
"","91739BGTHR12550","ALAC-ETIWANDA ASU","12550 ARROW RTETIWANDA, CA 91739","SAN BERNARDINO","34.09909, -117.54578","15","1994","N/A",""
"","90302LNLTH550NO","ALAN LITHOGRAPH INC","550 N OAK STINGLEWOOD, CA 90302","LOS ANGELES","33.967627, -118.36103","8","1995","N/A",""
"","9131WTRMPH931MA","ALATUS AEROSYSTEMS","9301 MASON AVENUECHATSWORTH, CA 91311","LOS ANGELES","34.24001, -118.57978","4","2018","Report",""
"","9174WTRMPH1755E","ALATUS AEROSYSTEMS","17055 EAST GALE AVENUEINDUSTRY, CA 91745","LOS ANGELES","34.00061, -117.93489","18","2018","Report",""
