Facility.Name,Latitude,Longitude
City of Escondido/Vista Water Treatment Plant,33.158333,-117.041667
ALVARADO WATER TREATMENT PLANT,32.818333,-117.046083
City of Poway - Community Swim Center,32.954167,-117.046667
"Sysco San Diego, Inc.",32.93704,-117.052394
Henry Tate Water Treatment Plant,34.073167,-117.074083
Robert A. Skinner Water Treatment Plant,33.582889,-117.081278
Betsworth Facility,33.229444,-117.081667
R.A.R. Desalination Facility,32.659755,-117.084399
Henry N. Wochholz Wastewater Treatment Facility,34.006944,-117.095
South Bay Power Plant,32.613056,-117.096306
Miramar Water Treatment Plant,32.91315,-117.0973
Goal Line LP,33.118552,-117.099367
Red Mountain Station,33.234,-117.1116
San Diego Cold Storage,32.65427,-117.113899
Horace Hinckley Water Treatment Plant,34.077083,-117.120361
Naval Station Energy Facility,32.679221,-117.12176
Solar Turbines,32.817321,-117.128639
ISP Alginates Inc.,32.694166,-117.144999
"CCC Pool Services, Inc.",33.140694,-117.145083
Hill Brothers Chemical Co. - San Diego,32.704167,-117.147778
Wastewater Treatment Plant,33.2202,-117.1537
Tenth Avenue Marine Terminal Cold Storage Facility,32.701702,-117.157791
Al Incorporated,33.93664,-117.161154
"Inland Empire Energy Center, LLC",33.73791,-117.170565
VWD Vallecitos IV Flow Control Facility,33.2125,-117.171389
Temecula Valley RWRF,33.5075,-117.1725
R.E. Badger Filtration Plant,33.051391,-117.174094
Vallecitos Water District Twin Oaks Reservoir,33.211944,-117.17444
Santa Rosa Water Reclamation Facility,33.533167,-117.189333
North Island Energy Facility,32.705061,-117.18975
Perris Valley Regional Water Reclamation Facility,33.756,-117.193111
CR BRIGGS,35.945861,-117.195583
CalOaks Pumping Station,33.581194,-117.197194
NTC/MCRD Energy Facility,32.7357182,-117.207916
Sun City Regional Water Reclamation Facility,33.694194,-117.209806
Grass Valley Wastewater Treatment Plant,34.288472,-117.216111
Moreno Valley Regional Water Reclamation Facility,33.871389,-117.217389
VWD Meadowlark Water Reclamation Facility,33.103056,-117.226667
RCWD Cole Creek Chlorine Facility,33.560556,-117.24
Point Loma Wastewater Treatment Plant,32.679167,-117.245833
SCC Chemical Corporation,34.081056,-117.246306
Stater Bros. Markets Refrigerated DC,34.095958,-117.252184
Chemical Unloading Facility,33.833972,-117.254806
Gage Chlorination Station,34.079861,-117.25975
Carlsbad Municipal Water District Maerkle Facility,33.147987,-117.26461
March Wastewater Reclamation Facility,33.869,-117.265556
Huston Creek Wastewater Treatment Plant,34.254165,-117.270699
Water Treatment Plant,33.675611,-117.273806
Sixth Street Chlorination Station,34.110417,-117.274028
Railroad Canyon Water Reclamation Facility,33.667389,-117.275194
Sysco - Riverside,33.892022,-117.279079
Fresh and Easy Campus Kitchen,33.898982,-117.282187
ConAgra Flour Milling Company,34.05,-117.283333
Albertsons - Riverside Commissary,33.900911,-117.284025
JBS,33.898495,-117.284943
"AFG Industries, Inc. - Victorville",34.480556,-117.285
"Americold, Victorville     #75196",34.489288,-117.286571
Church & Dwight Co. Inc.,34.485,-117.295833
GH Foods,33.933229,-117.300976
Ralphs Grocery Company - Riverside,33.930922,-117.303696
Seeley Creek Wastewater Treatment Plant,34.266295,-117.304451
Encina Water Pollution Control Facility,33.108333,-117.308333
Sierra Aluninum Fontana Extrusion Operation,34.0233,-117.3115
OSI-Riverside,34.001933,-117.314378
Robert A. Weese Water Treatment Plant,33.235694,-117.319083
Henry J. Mills Water Treatment Plant,33.920528,-117.31975
Grand Terrace Chlorination Station,34.040694,-117.324639
Lineage Logistics - Hunter Park,34.00184,-117.331714
City of Colton Water Reclamation Facility,34.050726,-117.336241
Rustoluem Corp,34.007651,-117.33825
Regional  Wastewater Facility,33.680611,-117.338806
Searles Valley Minerals - Lake Operations,35.759722,-117.339722
McLane Southern California,34.168889,-117.343056
"GATX - Colton, CA Tank Car Facility",34.065361,-117.349833
Rialto Wastewater Treatment Plant,34.055833,-117.350278
Garner 'B' Chlorine Storage Station,34.017167,-117.354972
Victor Valley Wastewater Reclamation Authority,34.616806,-117.356415
Lineage Logistics - Aqua Mansa,34.039185,-117.36085
"220 Laboratories, Inc.",33.984256,-117.360871
CSM Bakery Products,34.364841,-117.364841
Unilever NA Distribution Center,34.042,-117.368
High Desert Power Project,34.595293,-117.369122
MCB Camp Pendleton,33.288056,-117.370278
"Windsor Quality Food Company, Ltd.",33.970278,-117.371944
Colton Plant,35.083333,-117.375
"IMC CHEMICALS, INC. - LAKE OPERATIONS #1",35.761028,-117.377361
Searles Valley Minerals - Trona Facility,35.761028,-117.377361
Riverside Extrusion Facility,34.01424,-117.37798
Sierra Aluminum Fontana Finishing Operation,34.014632,-117.378654
Lineage Logistics - Riverside Building #3,34.012501,-117.379965
ACE Cogeneration Facility,35.765515,-117.383606
MCB Camp Pendleton,33.210278,-117.391944
MCB Camp Pendleton,33.210278,-117.391944
MCB Camp Pendleton,33.210278,-117.391944
Searles Valley Minerals - Westend Facility,35.708056,-117.393611
Carpenter Co. Riverside Division,33.927306,-117.405358
SHIELD PACKAGING OF CA. INC.,34.0026,-117.413
Target FDC T3899,34.130835,-117.415651
Horsethief Canyon Water Reclamation Facility,33.734306,-117.426806
Airgas Specialty Products - Fontana,34.141389,-117.4325
"Airgas Specialty Products - Riverside, CA",33.9575,-117.446663
Lake Mathews Reservoir,33.854722,-117.4505
Riverside Regional Water Quality Control Plant,33.963889,-117.4575
"Urethane Polymers International, Inc",34.05709,-117.463712
"Gallade Chemical, Inc. - Fontana (Federal Filing)",34.056389,-117.475667
"The Dodge Company, Inc.",34.108793,-117.477807
California Pool Chem.,34.055,-117.494444
Kemiron Pacific Inc.,34.081667,-117.5025
VISTA METALS CORP.,34.094639,-117.512111
"Geodis - Fontana, CA",34.075275,-117.51712
Fontana Distribution Center,34.08588,-117.5192
Lineage Logistics - Mira Loma,34.027898,-117.520742
Lloyd W. Michael Water Treatment Plant,34.1495,-117.5217
TST Inc.,34.044083,-117.521861
Elite Comfort Solutions,34.045141,-117.527669
Royer Nesbit Treatment Plant,34.156389,-117.531111
"Praxair - Ontario, CA",34.062965,-117.531364
Meeder Equipment Company,34.086111,-117.531389
Ontario Distribution Center,34.033611,-117.532778
"Americold, Ontario - CA   #75141",34.057541,-117.534107
Costco Wholesale - Mira Loma Depot #961,34.0147848,-117.537897
"KIK Pool Additives, Inc.",34.06199,-117.538308
"Johns Manville Corporation, Corona, CA",33.8675,-117.540556
"Sterigenics US, LLC (Ontario)",34.550833,-117.55
Haliburton International Foods,34.049582,-117.568645
Corona Energy Partners,33.890694,-117.580639
"Ventura Foods, LLC - Ontario Division",34.0453,-117.58709
REGIONAL PLANT #1,34.03,-117.59
Water Treatment Facility,33.408056,-117.5925
U.S. Merchants - Ontario,34.0424,-117.5967
Dart Container Corporation of California,33.886667,-117.604722
Ontario Distribution Center,34.031639,-117.619889
City of San Clemente - Water Reclamation Facility,33.43444,-117.629167
Foothill Orange Coast Chemical,34.089167,-117.633333
Herbert E. Gleicke Trust Upland Aerosol Facility,34.0886,-117.635
Sunkist Growers,34.05699,-117.64311
"SAV-ON PLATING, INC.",34.823139,-117.645611
REGIONAL PLANT #2,33.94,-117.65
"Naval Air Weapons Station China Lake, CA",35.655,-117.656389
3A Treatment Plant,33.575556,-117.673333
Clark Foam (CalARP),33.5575,-117.675556
OLS Energy-Chino Cogeneration Facility,33.989444,-117.681111
Agua de Lejos Treatment Plant,34.127224,-117.682183
J.B. Latham Regional Plant,33.466111,-117.685278
Boeing/Rocketdyne AFRL Area 1-120 Test Stand 1A,34.944444,-117.688333
Carbon Canyon Wastewater Reclamation Facility,33.98,-117.69
Pomona Valley Pool Chlor,34.106944,-117.692222
Miramar Water Treatment Plant,34.130556,-117.695
"Mojave Cogeneration Company, L.P.",35.032069,-117.7015
Joint Regional Plant,33.539487,-117.705218
Bowerman Landfill Gas Processing Facility,33.712194,-117.709889
Clean Energy California LNG Plant #1,35.034295,-117.713191
Los Alisos Water Reclamation Plant,33.638124,-117.714181
Albertsons Distribution Center #36311,33.65725,-117.714667
Irvine Lake Pipeline Chlorination Facility,33.788056,-117.723056
Rattlesnake Reservoir Disinfection Facility,33.728333,-117.7425
F. E. Weymouth Water Treatment Plant,34.111972,-117.782111
Pomona Water Reclamation Plant,34.053639,-117.789972
Sand Canyon Reservoir Chlorination,33.646111,-117.791667
Pacific Energy Group,33.870833,-117.802889
CLEARWATER CHEMICAL CO. INC.,34.103889,-117.805
"Aeropres Corporation - San Dimas, CA",34.1025,-117.816389
Robert B. Diemer Water Treatment Plant,33.911306,-117.817083
MPM TECHNOLOGY RESOURCES,34.033889,-117.830278
"Libbey Inc., City of Industry, CA Plant",34.019721,-117.835281
Mountain Water Ice Company,33.744722,-117.853056
Stearns Gas Plant - Hydrocarbon Processes,33.933321,-117.854327
"Gallade Chemical, Inc. - Santa Ana (Fed Filing)",33.718683,-117.855
Behr - Standard DC,33.722314,-117.85535
Big Canyon Reservoir,33.611639,-117.858056
"Tropicana Products, Inc.",34.00484,-117.8587
Michelson Water Reclamation Plant,33.708056,-117.859722
Primary Disinfection Facility,33.707944,-117.859722
CS Integrated - Brea,33.914389,-117.860833
"FXI, Inc.",33.821389,-117.864444
"SSE MFG., INC. -SABATASSO FOODS, INC. (CA)",33.707806,-117.86475
Airborne Laser (ABL) Project,34.900556,-117.875556
"Future Foam, Inc",33.861944,-117.885833
"Don Miguel Mexican Foods, Inc.",33.796861,-117.885917
Continental Chemical Company,33.809667,-117.8895
Morningstar Foods Inc.,33.856389,-117.892222
"Diversified CPC International, Inc.",33.811667,-117.892778
Monrovia Nursery Company,34.141296,-117.89516
"Preferred Freezer Services of Los Angeles, LLC",34.002003,-117.897877
412th Test Wing (412 CEG/CEV-Env Mgt Div),34.9226,-117.8991
Mesa Cold Storage,33.864009,-117.905634
WWF Operating Company,34.00493,-117.905942
Americold - Anaheim,33.855,-117.907778
Canyon Filtration Plant,34.158333,-117.909417
Columbia Pacific Aluminum,33.996889,-117.909694
"Air Products Polymer, L.P.",34.011667,-117.909722
Albertsons Distribution Center #38411,33.923361,-117.911778
Initial Disinfection Facility,33.713056,-117.913333
"Alta-Dena Certified Dairy, LLC",33.997291,-117.914497
Canyon  Chlorination Facility,34.155778,-117.915333
"Alta-Dena Certified Dairy, LLC",34.008194,-117.918667
Eastside Water Treatment Plant,34.521389,-117.923056
"S&S Foods, LLC",34.131977,-117.924105
"World Citrus West, Inc.",33.868838,-117.925803
Morningstar Foods (City of Industry - South),34.001201,-117.926483
Atlas Copco JC Carter Pumps,33.635,-117.926944
MillerCoors LLC.,34.12163,-117.93472
City of California City WWTP,35.142222,-117.935833
Ready Pac Irwindale Facility,34.093349,-117.936963
CS Integrated - LaHabra,33.928056,-117.941944
Orange County Water District,33.693778,-117.944583
"Dolco Packaging - Fullerton, CA",33.873611,-117.968611
KIK Aerosol Socal LLC,34.02605,-117.97153
"Cacique, Inc.",34.027213,-117.972521
"Norman, Fox & Co.",34.025,-117.973889
Huntington Beach Utilities-Well Number 9,33.715834,-117.974468
"Tropicana Manufacturing, LLC",34.037778,-117.976111
Hill Brothers Chemical Co. - City of Industry,34.02,-117.976944
Freshpoint Southern California,34.039948,-117.980287
"CUSTOM ALLOY LIGHT METALS, INC.",34.057,-117.988
Huntington Beach Utilities-Well Number 10,33.727297,-117.99427
"Cominco American, Inc.",34.093417,-117.997667
"VJLV Processing, Inc.",34.111444,-117.997861
Huntington Beach Utilities-Well Number 6,33.726586,-118.000988
ER Systems Garden Grove,33.783972,-118.006398
"US Foods, Inc. - Los Angeles Division",33.883743,-118.007496
Albertsons Distribution Center #8765,33.863722,-118.012667
Buena Park Cold Storage,33.826622,-118.013294
"Alta-Dena Certified Dairy, LLC - Buena Park",33.867222,-118.017875
Fresh Food Concepts,33.865944,-118.019583
San Jose Creek Water Reclamation Plant,34.032111,-118.021056
Rohm and Haas Chemicals LLC,33.888028,-118.022472
"Airgas Specialty Products Inc., LaMirada, CA",33.893531,-118.02294
Huntington Beach Utilities-Well Number 7,33.750297,-118.024914
Pactiv Corporation - La Mirada,33.891921,-118.026149
Huntington Beach Utilities Well Number 13,33.750066,-118.026534
Polycoat Products - Santa Fe Springs Facility,33.897328,-118.039862
"Rinchem Company, Inc.",33.57,-118.04
WEBER DISTRIBUTION - SANTA FE SPRINGS,33.901667,-118.0425
Heraeus Metal Processing,33.887972,-118.046
Pool Chlor Company,33.906387,-118.046608
"The Vons Companies, El Monte Distribution Center",34.085111,-118.049306
CS Integrated LLC,33.894167,-118.054444
"BRENNTAG PACIFIC, INC. SANTA FE SPRINGS FACILITY",33.937333,-118.060278
"Vons Company, Santa Fe Springs Distribution",33.897716,-118.061043
Whittier Narrows Water Reclamation Plant,34.031083,-118.065556
KIK SoCal Inc.,33.95651,-118.065895
"Phibro-Tech, Inc.",33.9603,-118.0661
LACDPW-Site11,34.68288,-118.066142
"Thrifty PayLess, Inc.",34.068333,-118.068056
Goodrich Wheels and Brakes,33.93,-118.071667
Pioneer Americas LLCd/b/a Olin Chlor Alkali Produc,33.957222,-118.075278
LACDPW-Site21,34.665278,-118.076487
Seal Beach Gas Processing Joint Venture,33.739161,-118.080103
LACDPW-Site12,34.6923,-118.0819
Long Beach Water Reclamation Plant,33.803861,-118.089222
Avon Products - Pasadena Branch,34.149722,-118.089333
Haynes Generating Station,33.76556,-118.096111
"AES Alamitos, LLC",33.768889,-118.101111
Los Coyotes Water Reclamation Plant,33.879889,-118.1035
Acton Water Treatment Plant,34.534444,-118.105
LACDPW-Site19,34.645081,-118.12091
"U.S. Growers Cold Storage Areas One, Two and Three",34.00145,-118.12373
Four Star Chemical,34.00487,-118.12567
LACDPW-Site03,34.668367,-118.130467
LACDPW-Site13,34.612419,-118.130689
Univar USA Inc.,33.9925,-118.133056
Ashland Specialty Chemical Company - Commerce,33.983333,-118.133333
LACDPW-Site01,34.689917,-118.133469
LACDPW-Site07,34.668142,-118.13924
U.S. Growers Cold Storage Areas 5&6,34.00143,-118.14064
LACDPW-Site06,34.646231,-118.145038
"Kemira Water Solutions, Inc. Mojave plant",35.088806,-118.147556
Pasadena Water & Power Broadway Power Plant,34.12543,-118.148172
"Dreyer's Grand Ice Cream, Inc.",34.006657,-118.148829
Union Ice Co.,33.994804,-118.149063
AltAir Paramount LLC,33.899944,-118.150528
Long Beach Groundwater Treatment Plant,33.808056,-118.150556
"PRC-DeSoto International, Inc. CA",34.988056,-118.150556
"FP International - Commerce, CA",33.978306,-118.151028
"Vons Company, Inc., Jerseymaid Milk Products",33.98715,-118.15118
LACDPW-Site10,34.718363,-118.155147
Rosamond Rail Terminal,34.836222,-118.155222
Pasadena Water & Power City Yards Facility,34.164773,-118.156516
LACDPW-Site02,34.686072,-118.15825
Trical Inc.,35.028056,-118.160833
Mojave Chlorination Station,34.991111,-118.165
"Engineered Polymer Solutions, Inc. - Los Angeles",33.987111,-118.165944
LUNDAY THAGARD COMPANY,33.946295,-118.16704
Saputo Cheese USA Inc.,33.931251,-118.172539
"Elite Comfort Solutions - Commerce, CA",34.012152,-118.174759
"Signal Hill Petroleum, West Unit",33.810556,-118.175597
LACDPW-Site09,34.697889,-118.17642
Arnco - South Gate,33.951417,-118.176611
Van Waters & Rogers Inc.,34.01525,-118.180556
"Polychemie Inc. - Los Angeles, CA",34.061846,-118.181777
Clorox Products Manufacturing Company,34.001523,-118.184469
AMVAC Chemical Corporation,34.009444,-118.188056
"Sterigenics US, LLC - Los Angeles",33.996889,-118.19
Dedeaux Properties,34.013308,-118.190339
Eagle Rock Reservoir Outlet Chlorination Station,34.144444,-118.190556
Rosamond Water Treatment Plant,34.873056,-118.190556
"Precision Specialty Metals, Inc.",34.061944,-118.191667
Lineage Logistics - Bandini,34.002973,-118.192647
Diatec Environmental Company - Southgate,33.963389,-118.195806
Long Beach Cold Storage & Logistics,33.783272,-118.199934
"The SYGMA Network, Inc. Lancaster",34.716667,-118.2
Americold - Vernon Plant 2103,33.999908,-118.203884
SOCO-LYNCH VERNON FACILITY,34.013333,-118.207778
Foamex LP,33.865833,-118.208333
International Rectifier,33.57,-118.21
"HP-A Vernon, LLC",34.006222,-118.210556
Americold- Vernon Plant 2102,34.005444,-118.210694
Evonik Corporation,34.013333,-118.212778
"U.S. Filter Recovery Services (California), Inc.",33.996667,-118.212778
Lineage Logistics - Sierra Pine,34.010072,-118.212957
"Overhill Farms, Inc. - Plant 2",34.004503,-118.213989
"Arctic Glacier Vernon, Inc.",33.997869,-118.215865
Marchem Technologies,33.843611,-118.216389
T. A. Davies Co.,33.855348,-118.2166
Zynolyte Products Company,33.8375,-118.216667
LACDPW-Site05,34.678656,-118.218317
"Clougherty Packing, LLC",34.0072459,-118.21929
Glacier Cold Storage LTD.,34.03,-118.22
Hexion Specialty Chemicals - Lynwood Plant,33.926047,-118.222717
"Overhill Farms, Inc.",34.006583,-118.22408
"Camino Real Foods, Inc.",34.004938,-118.225288
Glorietta Park Pump Station,34.187721,-118.226379
Buena Vista Chlorination Station,34.075833,-118.226944
"Praxair - Wilmington, CA",33.790278,-118.227778
"Harbor Cogeneration Company, LLC -Wilmington Plant",33.778056,-118.228278
Hill Brothers Chemical Co. - Los Angeles,34.031389,-118.228611
Material Logistics & Services,33.846,-118.23
National Cold Storage Co.,34.049222,-118.230889
"Air Products, Carson",33.812778,-118.231389
Eco Services Dominguez Plant,33.843333,-118.232844
ANDEAVOR Los Angeles Refinery - Wilm Operations,33.791667,-118.234722
INEOS Polypropylene LLC,33.818528,-118.2355
Ultramar Inc. d/b/a Valero Wilmington Refinery,33.780556,-118.235833
"Niklor Chemical Company, Inc.",33.827667,-118.237278
"Alloys Cleaning, Inc.",33.981389,-118.238056
Los Angeles Cold Storage Company,34.042807,-118.239016
James M. Rez Pump Station,34.158787,-118.23909
Ralphs Compton Facility,33.869945,-118.239738
Praxair - Carson CA (Long Beach),33.824166,-118.23975
"Air Products, Wilmington",33.780833,-118.241111
ANDEAVOR Los Angeles Refinery - Carson Operations,33.813611,-118.241389
"Konoike-Pacific California, Inc.",33.79356,-118.24172
Americold - Carson 2110,33.807121,-118.242317
Quartz Hill Water Treatment Plant,34.629722,-118.243889
Los Angeles Refinery Carson Plant,33.808333,-118.245833
"Calandri/SonRise Farms, LP",34.838665,-118.246452
Carson Cogeneration Company,33.875833,-118.249444
Mountain Water Ice Company,33.877385,-118.24976
Konoike E Street Inc.,33.776915,-118.25157
"Calandri/SonRise Farms, LP - Berry Ranch",34.834867,-118.259833
Terminal Island Treatment Plant,33.743889,-118.261944
Silver Lake Chlorination Station,34.101111,-118.263056
"Copeland Beverage Group, Inc.",34.026694,-118.265472
Harbor Generating Station,33.769167,-118.266667
Tri-Marine Fish Company,33.738926,-118.267788
Spectrum Laboratory Products - Gardena Facility,33.90011,-118.268285
Rowena Chlorination Station,34.110833,-118.270556
GWP Utility Operations Center Storage,34.156679,-118.278259
Joint Water Pollution Control Plant,33.802889,-118.28225
"Air Liquide Wilmington, CA CO2 Plant",33.776667,-118.282778
Los Angeles Refinery Wilmington Plant,33.778611,-118.286389
"Calandri/SonRise Farms, LP - Kim Ranch",34.8317,-118.290467
San Pedro Terminal,33.766111,-118.292778
JCI Jones Chemicals Inc. - Torrance,33.847534,-118.301613
Southern California Ice Company,33.81677,-118.30498
"Hitco Carbon Composites, Inc.",33.907222,-118.307222
Manhattan Wells Chlorination Station,33.982778,-118.31
Baskin Robbins,34.008611,-118.310833
Burbank Water Reclamation Plant,34.177194,-118.313139
City of Burbank Public Service Department,34.177833,-118.31475
Burbank Water Reclamation Plant Chlorination Stn.,34.182222,-118.318056
Palos Verdes Reservoir Outlet Chlorination Station,33.770833,-118.323056
Lower Hollywood Reservoir Outlet Chl. Station,34.116111,-118.331111
Torrance Refining Company LLC,33.851944,-118.331389
Dow Chemical Company Torrance California Site,33.844722,-118.331667
Hollywood Pumping Station Chlorination Station,34.125278,-118.334444
Tapia Bros Inc. 120th Street West,34.823056,-118.335278
Green-Verdugo Chlorination Station,34.256667,-118.337778
Arkema Torrance Distribution Terminal,33.853778,-118.347278
City of Burbank Water & Power-Valley Pumping Plant,34.186277,-118.347916
Arkema Coating Resins Torrance Facility,33.855583,-118.349083
Sanford M. Anderson Water Treatment Plant,33.96855,-118.35921
Inglewood Gas Plant,34.004579,-118.370335
Rancho San Francisco Gas Plant,34.235006,-118.383412
Valley Generating Station,34.24676,-118.38953
North Hollywood Wells Chlorination Station,34.194167,-118.390278
"AES Redondo Beach, LLC",33.850278,-118.395
"Air Liquide Large Ind. US, L.P., El Segundo H2 Fac",33.905833,-118.401944
Tujunga Wells Chlorination Station,34.228333,-118.414444
"Calandri/SonRise Farms, LP - Gaskell Rd.",34.834049,-118.414932
El Segundo Generating Station,33.90796,-118.42262
Giba Farms,34.829444,-118.422778
Scattergood Generating Station,33.917833,-118.425667
Chevron El Segundo Refinery - 2006C 6/20/08,33.916311,-118.427343
Hyperion Treatment Plant,33.925278,-118.430556
"Calandri/SonRise Farms, LP - Lane Ranch",34.819183,-118.440353
Upper Stone Canyon Chlorination Station,34.120272,-118.456475
Arcadia Water Treatment System,34.043667,-118.466472
"Anheuser-Busch, Inc. Los Angeles Brewery",34.220833,-118.475278
D.C. Tillman Water Reclamation Plant,34.185,-118.477222
Los Angeles Aqueduct Filtration Plant,34.305278,-118.488611
Grimmway Enterprises Inc. - Arvin Facility,35.1141,-118.49
Cogeneration Facility 42,34.3843,-118.4951
Joseph Jensen Water Treatment Plant,34.311806,-118.496028
"AES Placerita, Inc.",34.381667,-118.500556
Encino Chlorination Station,34.150035,-118.513274
Grimmway / Malaga Plant,35.1458,-118.5138
Rio Vista Water Treatment Plant,34.429528,-118.516417
AmeriCold Logistics Plant # 80511,34.3,-118.516667
King Pak Potato Company LLC,35.2057,-118.5234
Keysor-Century Corporation,34.41175,-118.538056
