NAICS Code,Description
4237,"HARDWARE, AND PLUMBING AND HEATING EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS"
4238,"MACHINERY, EQUIPMENT, AND SUPPLIES MERCHANT WHOLESALERS"
4239,MISCELLANEOUS DURABLE GOODS MERCHANT WHOLESALERS
4242,DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS
4244,GROCERY AND RELATED PRODUCT MERCHANT WHOLESALERS
4246,CHEMICAL AND ALLIED PRODUCTS MERCHANT WHOLESALERS
4247,PETROLEUM AND PETROLEUM PRODUCTS MERCHANT WHOLESALERS
4249,MISCELLANEOUS NONDURABLE GOODS MERCHANT WHOLESALERS
4251,WHOLESALE ELECTRONIC MARKETS AND AGENTS AND BROKERS
4411,AUTOMOBILE DEALERS
4413,"AUTOMOTIVE PARTS, ACCESSORIES, AND TIRE STORES"
4441,BUILDING MATERIAL AND SUPPLIES DEALERS
4451,GROCERY STORES
4461,HEALTH AND PERSONAL CARE STORES
4471,GASOLINE STATIONS
4533,USED MERCHANDISE STORES
4539,OTHER MISCELLANEOUS STORE RETAILERS
4543,DIRECT SELLING ESTABLISHMENTS
4811,SCHEDULED AIR TRANSPORTATION
4812,NONSCHEDULED AIR TRANSPORTATION
4821,RAIL TRANSPORTATION
4831,"DEEP SEA, COASTAL, AND GREAT LAKES WATER TRANSPORTATION"
4841,GENERAL FREIGHT TRUCKING
4842,SPECIALIZED FREIGHT TRUCKING
4851,URBAN TRANSIT SYSTEMS
4854,SCHOOL AND EMPLOYEE BUS TRANSPORTATION
4861,PIPELINE TRANSPORTATION OF CRUDE OIL
4862,PIPELINE TRANSPORTATION OF NATURAL GAS
4869,OTHER PIPELINE TRANSPORTATION
4881,SUPPORT ACTIVITIES FOR AIR TRANSPORTATION
4882,SUPPORT ACTIVITIES FOR RAIL TRANSPORTATION
4883,SUPPORT ACTIVITIES FOR WATER TRANSPORTATION
4884,SUPPORT ACTIVITIES FOR ROAD TRANSPORTATION
4889,OTHER SUPPORT ACTIVITIES FOR TRANSPORTATION
4921,COURIERS AND EXPRESS DELIVERY SERVICES
4931,WAREHOUSING AND STORAGE
5111,"NEWSPAPER, PERIODICAL, BOOK, AND DIRECTORY PUBLISHERS"
5112,SOFTWARE PUBLISHERS
5121,MOTION PICTURE AND VIDEO INDUSTRIES
5151,RADIO AND TELEVISION BROADCASTING
5173,TELECOMMUNICATIONS RESELLERS
5179,OTHER TELECOMMUNICATIONS
5259,OTHER INVESTMENT POOLS AND FUNDS
5311,LESSORS OF REAL ESTATE
5312,OFFICES OF REAL ESTATE AGENTS AND BROKERS
5313,ACTIVITIES RELATED TO REAL ESTATE
5321,AUTOMOTIVE EQUIPMENT RENTAL AND LEASING
5324,COMMERCIAL AND INDUSTRIAL MACHINERY AND EQUIPMENT RENTAL AND LEASING
5413,"ARCHITECTURAL, ENGINEERING, AND RELATED SERVICES"
5415,COMPUTER SYSTEMS DESIGN AND RELATED SERVICES
5416,"MANAGEMENT, SCIENTIFIC, AND TECHNICAL CONSULTING SERVICES"
5417,SCIENTIFIC RESEARCH AND DEVELOPMENT SERVICES
5419,"OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES"
5617,SERVICES TO BUILDINGS AND DWELLINGS
5619,OTHER SUPPORT SERVICES
5621,WASTE COLLECTION
5622,WASTE TREATMENT AND DISPOSAL
5629,REMEDIATION AND OTHER WASTE MANAGEMENT SERVICES
6111,ELEMENTARY AND SECONDARY SCHOOLS
6112,JUNIOR COLLEGES
6113,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
6116,OTHER SCHOOLS AND INSTRUCTION
6211,OFFICES OF PHYSICIANS
6213,OFFICES OF OTHER HEALTH PRACTITIONERS
6214,OUTPATIENT CARE CENTERS
6215,MEDICAL AND DIAGNOSTIC LABORATORIES
6219,OTHER AMBULATORY HEALTH CARE SERVICES
6221,GENERAL MEDICAL AND SURGICAL HOSPITALS
6222,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS
6223,SPECIALTY (EXCEPT PSYCHIATRIC AND SUBSTANCE ABUSE) HOSPITALS
6231,NURSING CARE FACILITIES
6232,"RESIDENTIAL MENTAL RETARDATION, MENTAL HEALTH AND SUBSTANCE ABUSE FACILITIES"
7121,"MUSEUMS, HISTORICAL SITES, AND SIMILAR INSTITUTIONS"
7131,AMUSEMENT PARKS AND ARCADES
7139,OTHER AMUSEMENT AND RECREATION INDUSTRIES
7211,TRAVELER ACCOMMODATION
8111,AUTOMOTIVE REPAIR AND MAINTENANCE
8112,ELECTRONIC AND PRECISION EQUIPMENT REPAIR AND MAINTENANCE
8113,COMMERCIAL AND INDUSTRIAL MACHINERY AND EQUIPMENT (EXCEPT AUTOMOTIVE AND ELECTRONIC) REPAIR AND MAINTENANCE
8114,PERSONAL AND HOUSEHOLD GOODS REPAIR AND MAINTENANCE
8123,DRYCLEANING AND LAUNDRY SERVICES
8129,OTHER PERSONAL SERVICES
8141,PRIVATE HOUSEHOLDS
9211,"EXECUTIVE, LEGISLATIVE, AND OTHER GENERAL GOVERNMENT SUPPORT"
9221,"JUSTICE, PUBLIC ORDER, AND SAFETY ACTIVITIES"
9241,ADMINISTRATION OF ENVIRONMENTAL QUALITY PROGRAMS
9261,ADMINISTRATION OF ECONOMIC PROGRAM
9271,SPACE RESEARCH AND TECHNOLOGY
9281,NATIONAL SECURITY AND INTERNATIONAL AFFAIRS
